Daubentonia_madagascariensis.Lemur_catta,Daubentonia_madagascariensis.Nycticebus_bengalensis,Lemur_catta.Nycticebus_bengalensis,chr,ILS,asymmetry
25912,5412,5036,chr1,0.28734873487348733,1.0746624305003971
31099,5843,5357,chr2,0.26478167332561053,1.0907224192645137
25236,4946,4470,chr3,0.2717303474546924,1.1064876957494407
14780,3000,3266,chr4,0.29772878456713864,0.9185548071034905
21079,4380,4041,chr5,0.2854576271186441,1.0838901262063845
19006,3877,3439,chr6,0.27794240559228023,1.127362605408549
17482,3435,3029,chr7,0.26994069990812664,1.134037636183559
15309,2812,2709,chr8,0.26505040806529045,1.0380214101144334
14667,2884,2455,chr9,0.26686993901829453,1.174745417515275
14761,2772,2610,chr10,0.2671895944000397,1.0620689655172413
16177,3150,2941,chr11,0.27353152505837974,1.0710642638558314
13604,2711,2446,chr12,0.27487873780715316,1.108340147179068
9805,1789,1631,chr13,0.25860113421550096,1.0968730839975476
10316,2050,1811,chr14,0.2723425266276363,1.1319712865819989
9318,1953,1758,chr15,0.2848261570343081,1.1109215017064846
7896,1554,1484,chr16,0.27784891165172854,1.0471698113207548
8040,1493,1314,chr17,0.25878122983313356,1.1362252663622527
9004,1535,1557,chr18,0.25562169312169314,0.9858702633269107
2480,629,502,chr19,0.31320963721960676,1.252988047808765
7220,1349,1227,chr20,0.2629644752960392,1.0994295028524856
3509,593,612,chr21,0.2556215528213831,0.9689542483660131
2995,551,457,chr22,0.25181114164376717,1.2056892778993435
12670,2579,2348,chrX,0.27999090754105815,1.098381601362862
310,53,49,chrY,0.24757281553398058,1.0816326530612246
