Rhinopithecus_roxellana.Rhinopithecus_strykeri,Pygathrix_nemaeus.Rhinopithecus_strykeri,Pygathrix_nemaeus.Rhinopithecus_roxellana,chr,ILS,asymmetry
106822,4277,4337,chr1,0.07462143525416681,0.9861655522250403
118126,4741,4820,chr2,0.07487841362080713,0.983609958506224
99252,3747,3757,chr3,0.07029113117763873,0.9973383018365717
91676,3538,3497,chr4,0.07126865293634954,1.0117243351444094
88758,3178,3179,chr5,0.06683488408768333,0.9996854356715948
81550,3300,3279,chr6,0.07465193069250757,1.0064043915827996
72087,2879,2850,chr7,0.07362239128199856,1.0101754385964912
62178,2381,2282,chr8,0.06976257087715623,1.0433829973707274
50449,2038,2021,chr9,0.0744661334116093,1.0084116773874319
59768,2420,2399,chr10,0.07461253812686763,1.0087536473530638
58662,2339,2304,chr11,0.07334333780901982,1.0151909722222223
61189,2441,2425,chr12,0.07366588449019756,1.00659793814433
47268,1693,1736,chr13,0.06763713829220663,0.9752304147465438
41665,1671,1715,chr14,0.07515926394530643,0.9743440233236151
38071,1468,1483,chr15,0.0719370094095851,0.9898853674983142
33372,1172,1169,chr16,0.06555035981295326,1.0025662959794697
30006,1262,1212,chr17,0.07616995073891626,1.0412541254125414
37719,1421,1399,chr18,0.06956264338044846,1.0157255182273053
13113,538,552,chr19,0.07674434978525664,0.9746376811594203
29411,1181,1111,chr20,0.07229599722423745,1.063006300630063
16392,702,696,chr21,0.07858347386172007,1.0086206896551724
12485,426,477,chr22,0.06744846130863459,0.8930817610062893
65819,3204,3049,chrX,0.08676046176046176,1.0508363397835356
3121,233,617,chrY,0.2140518761017376,0.37763371150729336
