Cercopithecus_mona.Chlorocebus_sabaeus,Chlorocebus_sabaeus.Macaca_mulatta,Cercopithecus_mona.Macaca_mulatta,chr,ILS,asymmetry
83278,12429,12239,chr1,0.22852166824152817,1.0155241441294223
94708,13816,13613,chr2,0.22457568140694467,1.0149122162638655
77738,11221,11198,chr3,0.22383857343969968,1.0020539382032505
74861,11401,10967,chr4,0.23005481903547295,1.0395732652502963
71721,10770,10701,chr5,0.23039531290239507,1.0064479955144379
62018,9456,9208,chr6,0.23132792940184924,1.0269331016507386
51957,7515,7209,chr7,0.22081252530705897,1.042446941323346
57480,8374,8607,chr8,0.22805226897301945,0.9729290112698966
45958,6506,6628,chr9,0.22226358897989576,0.9815932407966204
51301,7506,7213,chr10,0.2229475916388973,1.04062110079024
46759,7147,7012,chr11,0.2324271972159296,1.019252709640616
49126,7471,7434,chr12,0.2327778732176602,1.004977132095776
34539,4934,4858,chr13,0.220883805914597,1.0156442980650473
31875,4870,4813,chr14,0.23299966312142067,1.011842925410347
29817,4464,4202,chr15,0.22519034378816621,1.0623512613041408
28301,3857,3910,chr16,0.21534324054563603,0.9864450127877238
24865,3726,3614,chr17,0.2279149200434715,1.0309905921416713
29611,4560,4646,chr18,0.23716412911868512,0.9814894532931554
10888,1631,1433,chr19,0.21961009174311927,1.1381716678297278
24651,3067,3071,chr20,0.19935691318327975,0.9986974926733962
13761,1528,1554,chr21,0.18298402897346078,0.9832689832689833
10850,1217,1307,chr22,0.18872439060864363,0.9311400153022188
51831,7440,7569,chrX,0.2245511669658887,0.9829567974633373
2634,685,333,chrY,0.2787513691128149,2.057057057057057
