Unnamed: 0,"Hylobates_lar,Nomascus_leucogenys","Homo_sapiens,Nomascus_leucogenys","Homo_sapiens,Hylobates_lar"
chr19.window1k.dnd,14625,71,63
chr18.window1k.dnd,39835,73,37
chr13.window1k.dnd,46544,147,61
chr12.window1k.dnd,63354,134,67
chr10.window1k.dnd,65850,195,203
chr11.window1k.dnd,62611,128,124
chr14.window1k.dnd,43376,87,59
chr15.window1k.dnd,39124,195,122
chr17.window1k.dnd,31565,155,71
chr16.window1k.dnd,35447,99,82
chr5.window1k.dnd,79872,186,69
chr4.window1k.dnd,88562,183,135
chr6.window1k.dnd,85972,177,95
chr7.window1k.dnd,75838,244,189
chr2.window1k.dnd,125888,221,185
chrY.window1k.dnd,4114,287,131
chr3.window1k.dnd,103414,178,90
chrX.window1k.dnd,69651,805,195
chr1.window1k.dnd,110508,276,296
chr22.window1k.dnd,13308,76,66
chr20.window1k.dnd,30866,111,62
chr8.window1k.dnd,74252,126,102
chr9.window1k.dnd,56907,170,125
chr21.window1k.dnd,16437,80,34
