Nycticebus_bengalensis.Nycticebus_pygmaeus,Loris_tardigradus.Nycticebus_pygmaeus,Loris_tardigradus.Nycticebus_bengalensis,chr,ILS,asymmetry
37054.0,39.0,37.0,chr1,0.0020468623754376514,1.054054054054054
43708.0,38.0,36.0,chr2,0.0016901923164770911,1.0555555555555556
35742.0,44.0,41.0,chr3,0.00237251235102018,1.0731707317073171
23903.0,23.0,27.0,chr4,0.0020874211998497057,0.8518518518518519
30957.0,34.0,34.0,chr5,0.002191780821917808,1.0
27774.0,31.0,28.0,chr6,0.0021197858656989903,1.1071428571428572
25023.0,20.0,24.0,chr7,0.001755295807236606,0.8333333333333334
22010.0,22.0,18.0,chr8,0.0018140589569160999,1.2222222222222223
21131.0,36.0,30.0,chr9,0.0031136481577581734,1.2
21573.0,25.0,18.0,chr10,0.0019892672094744632,1.3888888888888888
23190.0,22.0,18.0,chr11,0.0017219113215669393,1.2222222222222223
19670.0,24.0,19.0,chr12,0.0021813016790950134,1.263157894736842
14619.0,17.0,11.0,chr13,0.0019116542636717416,1.5454545454545454
14589.0,25.0,12.0,chr14,0.002529741556132914,2.0833333333333335
13455.0,18.0,11.0,chr15,0.002150697122515574,1.6363636363636365
11503.0,7.0,16.0,chr16,0.001995488460871074,0.4375
11243.0,13.0,12.0,chr17,0.0022186723464678736,1.0833333333333333
12680.0,12.0,25.0,chr18,0.0029094912322088543,0.48
3894.0,30.0,22.0,chr19,0.013177901672579827,1.3636363636363635
10325.0,7.0,9.0,chr20,0.0015472391451503724,0.7777777777777778
4246.0,5.0,4.0,chr21,0.0021151586368977674,1.25
4125.0,7.0,2.0,chr22,0.0021770682148040637,3.5
18446.0,37.0,31.0,chrX,0.003672896186669547,1.1935483870967742
384.0,16.0,,chrY,,
