Lemur_catta.Microcebus_murinus,Daubentonia_madagascariensis.Lemur_catta,Daubentonia_madagascariensis.Microcebus_murinus,chr,ILS,asymmetry
35545,195,157,chr1,0.0098058333565479,1.2420382165605095
41903,210,149,chr2,0.008494628744498604,1.4093959731543624
32856,189,139,chr3,0.009884281581485053,1.3597122302158273
19653,129,72,chr4,0.010123904502870958,1.7916666666666667
28781,128,119,chr5,0.008509025768223783,1.0756302521008403
26051,150,123,chr6,0.010370764321531683,1.2195121951219512
23643,95,98,chr7,0.008096996140291995,0.9693877551020408
20543,102,80,chr8,0.008781664656212305,1.275
19750,92,73,chr9,0.008285212151644489,1.2602739726027397
19587,87,72,chr10,0.008052263749620175,1.2083333333333333
22038,108,82,chr11,0.008547777577829764,1.3170731707317074
18361,98,85,chr12,0.009868421052631578,1.1529411764705881
13158,82,55,chr13,0.010304625799172622,1.490909090909091
13966,73,58,chr14,0.009292757324253387,1.2586206896551724
12776,76,43,chr15,0.009228383094222567,1.7674418604651163
10718,58,37,chr16,0.008785720891519468,1.5675675675675675
10657,42,52,chr17,0.008743372709515394,0.8076923076923077
11934,74,43,chr18,0.009708737864077669,1.7209302325581395
3310,35,25,chr19,0.017804154302670624,1.4
9572,34,22,chr20,0.005816368923971749,1.5454545454545454
4669,29,19,chr21,0.010175959296162815,1.5263157894736843
3832,16,8,chr22,0.006224066390041493,2.0
17242,98,60,chrX,0.009080459770114943,1.6333333333333333
400,16,8,chrY,0.05660377358490566,2.0
