"Homo_sapiens,Pongo_pygmaeus","Homo_sapiens,Hylobates_lar","Hylobates_lar,Pongo_pygmaeus",chr,ILS,asymmetry
71532,21256,20759,chr1,0.37002298607625034,1.023941422997254
78936,22879,22743,chr2,0.3662711347324138,1.0059798619355407
65706,19402,18956,chr3,0.3686000922509225,1.0235281705001056
57021,17233,16894,chr4,0.3744130425242463,1.0200662957262934
52106,14688,14454,chr5,0.35867959826703427,1.016189290161893
55048,15766,15860,chr6,0.36488450977225007,0.9940731399747793
46226,13640,13824,chr7,0.37269643099470756,0.9866898148148148
45758,13347,13321,chr8,0.36821031121420483,1.0019518054200136
40803,8595,8634,chr9,0.29688792390405294,0.9954829742876998
41860,12302,11958,chr10,0.36690865093768904,1.028767352400067
40787,11650,11585,chr11,0.36292212052107087,1.0056107034958999
40442,11915,11754,chr12,0.36918781488356134,1.0136974646928705
29053,8834,8915,chr13,0.37923593008845774,0.9909141895681436
27379,8205,8054,chr14,0.37258811127916036,1.0187484479761608
25290,7572,7460,chr15,0.3727989683051436,1.0150134048257373
22485,6653,6347,chr16,0.3663519797097365,1.0482117535843705
20793,5815,5787,chr17,0.35814168853218087,1.0048384309659582
24761,7553,7479,chr18,0.3777548815118237,1.0098943709052013
8817,2559,2478,chr19,0.3635773061931572,1.0326876513317191
19407,5883,5851,chr20,0.37680228637487556,1.0054691505725517
9455,3593,3661,chr21,0.43413729128014844,0.9814258399344441
8124,2696,2655,chr22,0.3971057513914657,1.015442561205273
46745,11341,11219,chrX,0.32551763941995526,1.0108744094839113
1420,898,1329,chrY,0.6106388812722786,0.6756960120391272
