"Pygathrix_nemaeus,Rhinopithecus_roxellana","Pygathrix_nemaeus,Trachypithecus_phayrei","Rhinopithecus_roxellana,Trachypithecus_phayrei",chr,ILS,asymmetry
68802,21050,20005,chr1,0.37371309975695677,1.052236940764809
77406,23877,22473,chr2,0.3745272956462717,1.0624749699639569
62895,19231,18534,chr3,0.3751738525730181,1.037606560915075
59789,17918,17300,chr4,0.3706884755860094,1.0357225433526012
56449,17533,16830,chr5,0.3783971281328459,1.0417706476530006
51086,16001,15189,chr6,0.3790898925567602,1.0534597406017512
47111,14776,13998,chr7,0.3791790208868683,1.0555793684812116
43551,13366,12697,chr8,0.37439308185135173,1.0526896117193039
35354,11081,10791,chr9,0.3822038933351973,1.0268742470577332
39228,12753,11977,chr10,0.386659995622127,1.0647908491274944
38747,11520,10825,chr11,0.36575983762194725,1.0642032332563511
39645,12066,11587,chr12,0.37367689342475274,1.0413394321222058
27828,8452,8130,chr13,0.37338437288898896,1.0396063960639605
27193,8407,8038,chr14,0.3768504514414043,1.0459069420253795
24856,7472,7217,chr15,0.3714502465545581,1.0353332409588472
22061,6536,6029,chr16,0.3628776064229192,1.0840935478520484
19811,5905,5453,chr17,0.36440052616381663,1.0828901522097927
23812,7553,7142,chr18,0.38161892642896095,1.0575469056286755
8494,2674,2408,chr19,0.37433706540954625,1.1104651162790697
19438,5798,5437,chr20,0.36628305023962443,1.0663969100606951
10508,3266,3124,chr21,0.37815126050420167,1.0454545454545454
8193,2346,2313,chr22,0.36251167133520074,1.014267185473411
43817,11422,10481,chrX,0.33327754108338403,1.0897815093979581
2348,632,671,chrY,0.35688852369213914,0.9418777943368107
