"Rhinopithecus_roxellana,Rhinopithecus_strykeri","Pygathrix_nemaeus,Rhinopithecus_roxellana","Pygathrix_nemaeus,Rhinopithecus_strykeri",chr,ILS,asymmetry
106822,4337,4277,chr1,0.07462143525416681,1.0140285246668226
118126,4820,4741,chr2,0.07487841362080713,1.0166631512339168
99252,3757,3747,chr3,0.07029113117763873,1.0026688017080332
91676,3497,3538,chr4,0.07126865293634954,0.9884115319389486
88758,3179,3178,chr5,0.06683488408768333,1.000314663310258
81550,3279,3300,chr6,0.07465193069250757,0.9936363636363637
72087,2850,2879,chr7,0.07362239128199856,0.9899270580062521
62178,2282,2381,chr8,0.06976257087715623,0.9584208315833683
50449,2021,2038,chr9,0.0744661334116093,0.9916584887144259
59768,2399,2420,chr10,0.07461253812686763,0.9913223140495868
58662,2304,2339,chr11,0.07334333780901982,0.9850363403163745
61189,2425,2441,chr12,0.07366588449019756,0.9934453092994674
47268,1736,1693,chr13,0.06763713829220663,1.0253987005316008
41665,1715,1671,chr14,0.07515926394530643,1.0263315380011968
38071,1483,1468,chr15,0.0719370094095851,1.0102179836512262
33372,1169,1172,chr16,0.06555035981295326,0.9974402730375427
30006,1212,1262,chr17,0.07616995073891626,0.9603803486529319
37719,1399,1421,chr18,0.06956264338044846,0.9845179451090781
13113,552,538,chr19,0.07674434978525664,1.0260223048327137
29411,1111,1181,chr20,0.07229599722423745,0.9407281964436918
16392,696,702,chr21,0.07858347386172007,0.9914529914529915
12485,477,426,chr22,0.06744846130863459,1.119718309859155
65819,3049,3204,chrX,0.08676046176046176,0.9516229712858927
3121,617,233,chrY,0.2140518761017376,2.648068669527897
