"Lophocebus_aterrimus,Papio_hamadryas","Mandrillus_sphinx,Papio_hamadryas","Lophocebus_aterrimus,Mandrillus_sphinx",chr,ILS,asymmetry
91891,13700,12979,chr1,0.2250063253774142,1.0555512751367593
102569,15464,15161,chr2,0.229927774524378,1.0199854890838336
79907,11993,11937,chr3,0.23045735142579235,1.0046912959705119
73639,11864,11624,chr4,0.2418277101115035,1.0206469373709566
77351,11366,11375,chr5,0.22720097510290532,0.9992087912087912
67795,10921,10560,chr6,0.24061337873560643,1.034185606060606
63276,9555,9242,chr7,0.22902781669976727,1.0338671283272018
61363,9095,8965,chr8,0.22739005074096924,1.014500836586726
48338,7173,6842,chr9,0.22476865587862652,1.0483776673487284
53092,8212,8072,chr10,0.2347209409594096,1.0173439048562933
52044,7954,7620,chr11,0.230323286698808,1.0438320209973753
52605,8308,8099,chr12,0.23774126238914972,1.0258056550191381
38137,6052,5781,chr13,0.23680208124874924,1.0468777028195815
36115,5645,5580,chr14,0.23711449091677228,1.0116487455197132
32406,4934,4729,chr15,0.2296940740212508,1.0433495453584267
30560,4150,3999,chr16,0.21051951742488828,1.037759439859965
27156,4040,3792,chr17,0.2238481765176632,1.0654008438818565
32068,5109,5007,chr18,0.23980656172956571,1.0203714799281007
12011,1850,1744,chr19,0.23031079782121114,1.0607798165137614
25342,3863,3830,chr20,0.23287422430755259,1.008616187989556
13949,2221,2232,chr21,0.24198456689490272,0.9950716845878136
9558,1301,1302,chr22,0.2140448976235507,0.999231950844854
58364,8232,7663,chrX,0.21404812884633512,1.0742529035625734
2384,661,544,chrY,0.3357481192532739,1.2150735294117647
