Unnamed: 0,"Homo_sapiens,Hylobates_lar","Homo_sapiens,Macaca_mulatta","Hylobates_lar,Macaca_mulatta"
chr22.window1k.dnd,8298,187,194
chr20.window1k.dnd,21863,503,454
chr21.window1k.dnd,10660,209,194
chr14.window1k.dnd,30077,722,651
chr15.window1k.dnd,25716,695,653
chr17.window1k.dnd,21490,549,461
chr16.window1k.dnd,24846,543,532
chr13.window1k.dnd,31618,676,646
chr9.window1k.dnd,39498,934,839
chr12.window1k.dnd,43985,942,891
chr8.window1k.dnd,50722,1119,1060
chr10.window1k.dnd,45235,1143,992
chr11.window1k.dnd,44386,962,837
chr1.window1k.dnd,77487,1675,1560
chrX.window1k.dnd,44785,1056,662
chr19.window1k.dnd,8384,235,231
chr3.window1k.dnd,71601,1548,1387
chr18.window1k.dnd,26457,568,540
chrY.window1k.dnd,1471,387,464
chr2.window1k.dnd,89340,2004,1979
chr7.window1k.dnd,51958,1203,1192
chr6.window1k.dnd,57215,1182,1042
chr4.window1k.dnd,60859,1399,1248
chr5.window1k.dnd,55454,1240,1046
