Unnamed: 0,"Lemur_catta,Nycticebus_bengalensis","Macaca_mulatta,Nycticebus_bengalensis","Lemur_catta,Macaca_mulatta"
chr22.window1k.dnd,2537,15,22
chr21.window1k.dnd,2584,5,15
chr20.window1k.dnd,5833,25,37
chr12.window1k.dnd,10799,51,61
chr4.window1k.dnd,10528,170,123
chr5.window1k.dnd,17123,98,139
chr13.window1k.dnd,7749,27,54
chr7.window1k.dnd,13293,46,73
chr11.window1k.dnd,12665,62,103
chr10.window1k.dnd,12173,55,76
chr6.window1k.dnd,14271,62,109
chr15.window1k.dnd,6828,93,71
chr3.window1k.dnd,18841,96,171
chrX.window1k.dnd,9496,60,76
chr2.window1k.dnd,24641,94,137
chrY.window1k.dnd,171,7,14
chr14.window1k.dnd,8655,42,57
chr16.window1k.dnd,7073,49,53
chr17.window1k.dnd,7317,35,47
chr1.window1k.dnd,21996,163,217
chr9.window1k.dnd,11813,42,60
chr8.window1k.dnd,11210,41,93
chr18.window1k.dnd,7156,21,50
chr19.window1k.dnd,2390,34,51
