"Hoolock_hoolock,Nomascus_leucogenys","Hoolock_hoolock,Hylobates_lar","Hylobates_lar,Nomascus_leucogenys",chr,ILS,asymmetry
45300,44732,39666,chr1,0.6507270736634335,1.1277164322089448
51345,51636,45875,chr2,0.6550693287472457,1.1255803814713896
42035,41820,37841,chr3,0.6545901262161451,1.1051504981369413
36919,35947,32478,chr4,0.6495386543134872,1.1068107642096188
32637,32278,29117,chr5,0.6529160285860133,1.1085620084486727
34491,34121,31353,chr6,0.6549692392337318,1.0882850125984753
30169,30124,27363,chr7,0.6558250433512823,1.1009026787998393
30870,29802,27187,chr8,0.6486415734301552,1.0961856769779674
22931,23663,20980,chr9,0.6606535057862492,1.1278836987607246
26487,26134,23891,chr10,0.653819008782936,1.0938847264660332
26105,25556,23312,chr11,0.6518079842076481,1.0962594371997254
25822,26411,23078,chr12,0.6571284407324295,1.144423260247855
19045,19831,17420,chr13,0.6616988773625124,1.1384041331802526
17510,17684,15804,chr14,0.6566532020863564,1.1189572260187295
14987,14955,13209,chr15,0.6526847581747816,1.1321826027708382
14507,14441,13142,chr16,0.6553338085055833,1.0988434028306193
12711,12818,11592,chr17,0.6575792677998976,1.1057625948930296
16506,16320,15017,chr18,0.6549965512196142,1.0867683292268762
6993,6789,6389,chr19,0.6533141638986664,1.0626076068242292
12587,12297,11264,chr20,0.6517926302976652,1.0917080965909092
7343,6539,6295,chr21,0.6360707736531694,1.0387609213661637
5325,5350,5090,chr22,0.6622264509990485,1.0510805500982319
29674,30140,26464,chrX,0.6560652773592341,1.1389056831922613
1921,2218,2095,chrY,0.691851138915624,1.058711217183771
