Unnamed: 0,"Colobus_guereza,Macaca_mulatta","Hylobates_lar,Macaca_mulatta","Colobus_guereza,Hylobates_lar"
chr10.window1k.dnd,44709,96,74
chr11.window1k.dnd,43616,71,20
chr13.window1k.dnd,28298,67,32
chr12.window1k.dnd,43292,59,33
chr17.window1k.dnd,21258,42,28
chr16.window1k.dnd,24280,37,43
chr14.window1k.dnd,29794,42,22
chr15.window1k.dnd,25644,61,52
chr19.window1k.dnd,8237,52,39
chr18.window1k.dnd,25815,19,17
chr20.window1k.dnd,21709,21,28
chr21.window1k.dnd,10326,21,15
chr1.window1k.dnd,75654,122,61
chrX.window1k.dnd,41756,318,106
chr3.window1k.dnd,69728,79,38
chrY.window1k.dnd,1724,168,194
chr2.window1k.dnd,88138,133,84
chr22.window1k.dnd,8110,30,22
chr7.window1k.dnd,51453,91,49
chr6.window1k.dnd,54295,82,38
chr4.window1k.dnd,59652,87,41
chr5.window1k.dnd,54529,67,36
chr9.window1k.dnd,39033,79,54
chr8.window1k.dnd,50107,47,44
