Unnamed: 0,"Homo_sapiens,Pan_troglodytes","Gorilla_gorilla_gorilla,Pan_troglodytes","Gorilla_gorilla_gorilla,Homo_sapiens"
chr10.window1k.dnd,55318,15869,15871
chr11.window1k.dnd,53501,14808,14774
chr13.window1k.dnd,41040,13212,13051
chr12.window1k.dnd,55690,16273,15933
chr17.window1k.dnd,28265,8711,8603
chr16.window1k.dnd,31363,8543,8417
chr14.window1k.dnd,37410,10872,11052
chr15.window1k.dnd,33613,10082,10103
chr19.window1k.dnd,15432,4761,4635
chr18.window1k.dnd,32523,10289,10334
chr4.window1k.dnd,79150,26285,25762
chr20.window1k.dnd,25693,7556,7464
chr5.window1k.dnd,77284,23909,23797
chr21.window1k.dnd,14380,4624,4744
chr7.window1k.dnd,62279,17916,18182
chr22.window1k.dnd,12627,3564,3777
chr6.window1k.dnd,71766,22518,21516
chr3.window1k.dnd,86173,26407,25951
chrX.window1k.dnd,77320,12610,12410
chr2.window1k.dnd,104282,29805,29194
chrY.window1k.dnd,4376,906,525
chr1.window1k.dnd,97750,27548,27561
chr9.window1k.dnd,51068,14375,14060
chr8.window1k.dnd,60267,18325,18229
