Unnamed: 0,"Lemur_catta,Prolemur_simus","Microcebus_murinus,Prolemur_simus","Lemur_catta,Microcebus_murinus"
chr8.window1k.dnd,28170,18,5
chr13.window1k.dnd,18534,11,8
chr9.window1k.dnd,25138,10,26
chr12.window1k.dnd,24980,18,17
chr10.window1k.dnd,25063,17,10
chr11.window1k.dnd,28510,23,20
chr14.window1k.dnd,18142,13,9
chr15.window1k.dnd,16902,7,10
chr17.window1k.dnd,13464,5,3
chr16.window1k.dnd,13423,12,5
chr6.window1k.dnd,35353,19,16
chr7.window1k.dnd,30652,20,16
chr5.window1k.dnd,37760,13,24
chr4.window1k.dnd,28638,10,13
chr1.window1k.dnd,46707,35,35
chr2.window1k.dnd,53998,23,32
chrY.window1k.dnd,843,8,4
chr19.window1k.dnd,3865,21,30
chr3.window1k.dnd,43187,15,19
chr18.window1k.dnd,15676,2,8
chrX.window1k.dnd,24516,26,33
chr22.window1k.dnd,4845,4,5
chr20.window1k.dnd,12399,5,8
chr21.window1k.dnd,6443,6,2
