Unnamed: 0,"Hylobates_lar,Macaca_mulatta","Hylobates_lar,Saguinus_midas","Macaca_mulatta,Saguinus_midas"
chr19.window1k.dnd,3865,89,89
chr18.window1k.dnd,12971,278,221
chr14.window1k.dnd,15980,224,241
chr15.window1k.dnd,14103,276,259
chr17.window1k.dnd,11677,211,175
chr16.window1k.dnd,11799,234,201
chr13.window1k.dnd,15433,268,237
chr12.window1k.dnd,21759,423,351
chr10.window1k.dnd,22401,427,354
chr11.window1k.dnd,24240,448,358
chr1.window1k.dnd,40910,755,744
chrY.window1k.dnd,574,72,37
chr2.window1k.dnd,47351,864,741
chrX.window1k.dnd,21047,267,279
chr3.window1k.dnd,38550,726,600
chr6.window1k.dnd,29284,502,455
chr7.window1k.dnd,26390,443,419
chr5.window1k.dnd,27603,482,468
chr4.window1k.dnd,25278,458,457
chr8.window1k.dnd,24381,449,388
chr9.window1k.dnd,21201,440,386
chr22.window1k.dnd,4202,100,82
chr20.window1k.dnd,11081,223,190
chr21.window1k.dnd,5185,95,89
