Unnamed: 0,"Hylobates_lar,Symphalangus_syndactylus","Hoolock_hoolock,Hylobates_lar","Hoolock_hoolock,Symphalangus_syndactylus"
chr22.window1k.dnd,4665,4505,6413
chr21.window1k.dnd,6347,6198,7466
chr20.window1k.dnd,11634,11399,13007
chr9.window1k.dnd,21763,21440,23856
chr8.window1k.dnd,28193,26990,32103
chr18.window1k.dnd,15449,14851,17307
chr19.window1k.dnd,6301,6153,7357
chr7.window1k.dnd,27895,27324,32018
chr15.window1k.dnd,14152,13082,15718
chr6.window1k.dnd,31553,30934,36935
chr14.window1k.dnd,16156,15857,18383
chr16.window1k.dnd,13765,12915,15276
chr4.window1k.dnd,33763,32608,38372
chr17.window1k.dnd,11781,10952,14155
chr5.window1k.dnd,30341,29304,33800
chr12.window1k.dnd,23619,24049,27217
chr1.window1k.dnd,41126,40668,46965
chr13.window1k.dnd,18079,17444,20363
chrX.window1k.dnd,26054,24797,28239
chr11.window1k.dnd,24055,23043,27218
chr3.window1k.dnd,39337,37521,43956
chr10.window1k.dnd,24567,23857,27692
chrY.window1k.dnd,1572,2224,1995
chr2.window1k.dnd,48293,46621,53155
