Unnamed: 0,"Colobus_angolensis_palliatus,Colobus_guereza","Colobus_angolensis_palliatus,Piliocolobus_tephrosceles","Colobus_guereza,Piliocolobus_tephrosceles"
chr22.window1k.dnd,12016,136,124
chr20.window1k.dnd,30001,346,319
chr21.window1k.dnd,16292,176,227
chr8.window1k.dnd,72509,879,762
chr13.window1k.dnd,43316,469,431
chr12.window1k.dnd,61779,755,702
chr9.window1k.dnd,56819,751,616
chr10.window1k.dnd,63556,785,763
chr11.window1k.dnd,59486,715,654
chr14.window1k.dnd,42681,565,476
chr15.window1k.dnd,38376,567,492
chr17.window1k.dnd,30035,458,374
chr16.window1k.dnd,33594,296,274
chr6.window1k.dnd,80737,990,902
chr7.window1k.dnd,73750,989,884
chr5.window1k.dnd,88694,1327,1157
chr4.window1k.dnd,93288,1172,1072
chr1.window1k.dnd,107463,1405,1277
chr19.window1k.dnd,12729,196,187
chr2.window1k.dnd,120892,1527,1369
chrY.window1k.dnd,3533,147,158
chr3.window1k.dnd,98169,1091,1062
chrX.window1k.dnd,63681,1511,1019
chr18.window1k.dnd,37034,426,456
