Galago_moholi.Otolemur_garnettii,Nycticebus_bengalensis.Otolemur_garnettii,Galago_moholi.Nycticebus_bengalensis,chr,ILS,asymmetry
34500.0,40.0,34.0,chr1,0.0021403366691733674,1.1764705882352942
40727.0,33.0,30.0,chr2,0.0015444962000490316,1.1
33537.0,22.0,18.0,chr3,0.001191291657980165,1.2222222222222223
20069.0,16.0,21.0,chr4,0.0018402466925295932,0.7619047619047619
28377.0,24.0,23.0,chr5,0.0016535322262876443,1.0434782608695652
25602.0,17.0,16.0,chr6,0.0012873025160912814,1.0625
23464.0,23.0,13.0,chr7,0.0015319148936170212,1.7692307692307692
20300.0,14.0,20.0,chr8,0.0016720763253663814,0.7
19668.0,11.0,20.0,chr9,0.001573683943347378,0.55
19647.0,20.0,11.0,chr10,0.0015753633499339364,1.8181818181818181
21639.0,21.0,24.0,chr11,0.002075262866629773,0.875
18013.0,24.0,11.0,chr12,0.00193927304964539,2.1818181818181817
13573.0,16.0,12.0,chr13,0.002058672156459084,1.3333333333333333
13583.0,12.0,14.0,chr14,0.0019105004041443162,0.8571428571428571
12541.0,8.0,4.0,chr15,0.0009559467856289333,2.0
10421.0,10.0,9.0,chr16,0.0018199233716475096,1.1111111111111112
10527.0,10.0,11.0,chr17,0.0019908987485779293,0.9090909090909091
11624.0,3.0,5.0,chr18,0.000687757909215956,0.6
3434.0,23.0,32.0,chr19,0.015763829177414732,0.71875
9351.0,5.0,8.0,chr20,0.001388295600170867,0.625
4647.0,2.0,,chr21,,
3831.0,7.0,3.0,chr22,0.0026034886748242643,2.3333333333333335
15978.0,58.0,31.0,chrX,0.005539304163814028,1.8709677419354838
377.0,10.0,3.0,chrY,0.03333333333333333,3.3333333333333335
