Pan_paniscus.Pan_troglodytes,Homo_sapiens.Pan_troglodytes,Homo_sapiens.Pan_paniscus,chr,ILS,asymmetry
144910,6794,6577,chr1,0.08447634270695788,1.032993766154782
161351,6934,6672,chr2,0.07776768005852867,1.0392685851318946
135902,5327,5287,chr3,0.07244260012558355,1.0075657272555325
129443,5414,5584,chr4,0.07831046489273076,0.9695558739255015
121553,4721,4819,chr5,0.07277276437338379,0.9796638306702635
111383,4844,4929,chr6,0.08066459770873914,0.9827551227429498
98593,4823,4342,chr7,0.08505168989773382,1.1107784431137724
97064,3809,3612,chr8,0.07102454897832225,1.0545404208194906
74661,3523,3098,chr9,0.08145714918432125,1.1371852808263396
85277,3604,3589,chr10,0.07778739050502866,1.004179437169128
82795,3793,3703,chr11,0.08302045608089399,1.0243046178773967
85377,3605,3676,chr12,0.07857929158842195,0.9806855277475517
65837,2924,2825,chr13,0.08030899896627833,1.0350442477876107
57446,2540,2612,chr14,0.08230294897600562,0.9724349157733537
51883,2383,2158,chr15,0.08047993761519921,1.1042632066728453
45537,2071,1722,chr16,0.0768903304277316,1.20267131242741
43143,1953,1811,chr17,0.08024388683991729,1.078409718387631
51123,2372,2328,chr18,0.08419468677785143,1.0189003436426116
24949,989,1016,chr19,0.07438599094754025,0.9734251968503937
38737,1985,1586,chr20,0.08440484069206769,1.2515762925598992
22189,1541,1123,chr21,0.10719027883957671,1.3722172751558326
18736,1132,826,chr22,0.09461679713926742,1.3704600484261502
103530,4527,4487,chrX,0.08009311913562696,1.0089146422999777
3197,2817,203,chrY,0.4857648383464694,13.876847290640393
