Colobus_guereza.Macaca_mulatta,Hylobates_lar.Macaca_mulatta,Colobus_guereza.Hylobates_lar,chr,ILS,asymmetry
75654,122,61,chr1,0.002413070137268088,2.0
88138,133,84,chr2,0.002456001358157433,1.5833333333333333
69728,79,38,chr3,0.0016751378051399527,2.0789473684210527
59652,87,41,chr4,0.002141184342589495,2.1219512195121952
54529,67,36,chr5,0.00188534192414702,1.8611111111111112
54295,82,38,chr6,0.002205274280988698,2.1578947368421053
51453,91,49,chr7,0.002713546411334871,1.8571428571428572
50107,47,44,chr8,0.001812821227937368,1.0681818181818181
39033,79,54,chr9,0.00339580248174437,1.462962962962963
44709,96,74,chr10,0.0037879631899106485,1.2972972972972974
43616,71,20,chr11,0.0020820463541309175,3.55
43292,59,33,chr12,0.0021205974552830536,1.7878787878787878
28298,67,32,chr13,0.0034862837623692642,2.09375
29794,42,22,chr14,0.0021434791345702996,1.9090909090909092
25644,61,52,chr15,0.004387156889389292,1.1730769230769231
24280,37,43,chr16,0.003284072249589491,0.8604651162790697
21258,42,28,chr17,0.0032820705176294074,1.5
25815,19,17,chr18,0.0013925960311013113,1.1176470588235294
8237,52,39,chr19,0.010926993275696446,1.3333333333333333
21709,21,28,chr20,0.0022520452247449213,0.75
10326,21,15,chr21,0.003474232773595831,1.4
8110,30,22,chr22,0.006370987503062975,1.3636363636363635
41756,318,106,chrX,0.010052157420578474,3.0
1724,168,194,chrY,0.17353787152444872,0.865979381443299
