Pithecia_pithecia.Saguinus_midas,Macaca_mulatta.Pithecia_pithecia,Macaca_mulatta.Saguinus_midas,chr,ILS,asymmetry
42804,39,20,chr1,0.0013764785479317826,1.95
49283,40,29,chr2,0.0013981196304101151,1.3793103448275863
40258,22,19,chr3,0.0010173949725799647,1.1578947368421053
27579,25,15,chr4,0.0014482783591006191,1.6666666666666667
33927,23,21,chr5,0.0012952223955726943,1.0952380952380953
30632,25,14,chr6,0.001271559453555476,1.7857142857142858
27384,26,10,chr7,0.001312910284463895,2.6
25486,16,19,chr8,0.0013714196152188394,0.8421052631578947
22673,15,15,chr9,0.0013214112672334053,1.0
23274,21,13,chr10,0.0014587266174703965,1.6153846153846154
25260,16,11,chr11,0.0010677423181872107,1.4545454545454546
22761,33,11,chr12,0.0019294014470510852,3.0
17139,10,7,chr13,0.0009909069713219865,1.4285714285714286
16696,7,8,chr14,0.0008976123511459517,0.875
14773,13,8,chr15,0.0014194943896174124,1.625
12484,13,8,chr16,0.001679328268692523,1.625
12285,14,4,chr17,0.001463057790782736,3.5
13552,14,2,chr18,0.0011792452830188679,7.0
3953,15,21,chr19,0.009024818250188017,0.7142857142857143
11523,6,9,chr20,0.0013000520020800832,0.6666666666666666
5479,4,4,chr21,0.001457991616548205,1.0
4439,6,3,chr22,0.0020233812949640288,2.0
22016,44,21,chrX,0.0029437072596349804,2.0952380952380953
716,2,7,chrY,0.012413793103448275,0.2857142857142857
