Unnamed: 0,"Rhinopithecus_roxellana,Trachypithecus_phayrei","Colobus_guereza,Trachypithecus_phayrei","Colobus_guereza,Rhinopithecus_roxellana"
chr18.window1k.dnd,34532,1495,1556
chr19.window1k.dnd,11914,556,604
chr11.window1k.dnd,54095,2795,2891
chr10.window1k.dnd,58180,2767,2780
chr12.window1k.dnd,56188,2991,2930
chr13.window1k.dnd,39907,1761,1723
chr16.window1k.dnd,31830,1365,1364
chr17.window1k.dnd,27946,1482,1410
chr15.window1k.dnd,35194,1806,1859
chr14.window1k.dnd,39030,1905,1871
chr9.window1k.dnd,51882,2621,2754
chr8.window1k.dnd,66498,2810,2787
chr4.window1k.dnd,86247,3814,3735
chr21.window1k.dnd,15339,549,538
chr5.window1k.dnd,82461,3558,3532
chr20.window1k.dnd,27698,1270,1254
chr22.window1k.dnd,11603,541,565
chr7.window1k.dnd,67950,3429,3423
chr6.window1k.dnd,74239,3535,3575
chr3.window1k.dnd,90191,4357,4341
chrX.window1k.dnd,56460,3799,3800
chr2.window1k.dnd,109950,6009,5886
chrY.window1k.dnd,2720,463,250
chr1.window1k.dnd,98111,5107,5122
