Macaca_mulatta.Mus_musculus,Macaca_mulatta.tree_shrew,Mus_musculus.tree_shrew,chr,ILS,asymmetry
5066,4081,3164,chr1,0.5884980911380067,1.2898230088495575
5331,4121,3308,chr2,0.5822100313479623,1.2457678355501813
4065,3012,2879,chr3,0.5917034953796706,1.0461965960402917
2496,1879,1770,chr4,0.5938161106590725,1.0615819209039548
3833,3026,2402,chr5,0.5861138106036066,1.2597835137385511
3060,2190,1980,chr6,0.5767634854771784,1.106060606060606
2895,2166,1767,chr7,0.5760105448154658,1.2258064516129032
2422,1755,1393,chr8,0.5651705565529623,1.2598707824838478
2783,1986,1517,chr9,0.5572701240852689,1.3091628213579434
2727,2138,1691,chr10,0.5840451494813911,1.2643406268480188
2896,2201,1875,chr11,0.5846242111302352,1.1738666666666666
2503,1806,1468,chr12,0.5667301367491778,1.2302452316076293
1522,1289,949,chr13,0.5952127659574468,1.3582718651211803
2070,1540,1283,chr14,0.5769466584917229,1.2003117692907248
1631,1302,1169,chr15,0.6023890784982935,1.1137724550898203
1659,1309,896,chr16,0.5706521739130435,1.4609375
1835,1473,1099,chr17,0.5836169729975039,1.3403093721565058
1498,1197,881,chr18,0.581096196868009,1.358683314415437
594,479,348,chr19,0.5819845179451091,1.3764367816091954
1337,941,749,chr20,0.5583085563263958,1.2563417890520694
516,364,274,chr21,0.5528596187175043,1.3284671532846715
596,382,286,chr22,0.5284810126582279,1.3356643356643356
2291,1678,1608,chrX,0.589205666128743,1.0435323383084578
53,33,39,chrY,0.576,0.8461538461538461
