Unnamed: 0,"Pan_paniscus,Pan_troglodytes","Homo_sapiens,Pan_paniscus","Homo_sapiens,Pan_troglodytes"
chr12.window1k.dnd,85377,3676,3605
chr13.window1k.dnd,65837,2825,2924
chr11.window1k.dnd,82795,3703,3793
chr10.window1k.dnd,85277,3589,3604
chr15.window1k.dnd,51883,2158,2383
chr14.window1k.dnd,57446,2612,2540
chr16.window1k.dnd,45537,1722,2071
chr17.window1k.dnd,43143,1811,1953
chr18.window1k.dnd,51123,2328,2372
chr19.window1k.dnd,24949,1016,989
chr22.window1k.dnd,18736,826,1132
chr21.window1k.dnd,22189,1123,1541
chr8.window1k.dnd,97064,3612,3809
chr9.window1k.dnd,74661,3098,3523
chr20.window1k.dnd,38737,1586,1985
chr5.window1k.dnd,121553,4819,4721
chr4.window1k.dnd,129443,5584,5414
chr6.window1k.dnd,111383,4929,4844
chr7.window1k.dnd,98593,4342,4823
chrY.window1k.dnd,3197,203,2817
chr2.window1k.dnd,161351,6672,6934
chrX.window1k.dnd,103530,4487,4527
chr3.window1k.dnd,135902,5287,5327
chr1.window1k.dnd,144910,6577,6794
