Unnamed: 0,"Macaca_mulatta,Macaca_silenus","Macaca_nemestrina,Macaca_silenus","Macaca_mulatta,Macaca_nemestrina"
chr1.window1k.dnd,23228,76813,21890
chr3.window1k.dnd,20750,67737,19276
chrX.window1k.dnd,11561,49154,11753
chr2.window1k.dnd,26307,87871,24421
chrY.window1k.dnd,1096,2226,630
chr19.window1k.dnd,2886,10229,2772
chr7.window1k.dnd,15929,53936,15049
chr6.window1k.dnd,18113,60070,16875
chr18.window1k.dnd,8297,27184,7891
chr4.window1k.dnd,20268,64222,19100
chr5.window1k.dnd,19713,65338,18187
chr10.window1k.dnd,13598,44967,12756
chr11.window1k.dnd,13247,44563,12254
chr13.window1k.dnd,9369,30682,8852
chr12.window1k.dnd,13883,44401,12962
chr17.window1k.dnd,6573,22910,6201
chr9.window1k.dnd,12100,42017,11212
chr8.window1k.dnd,15523,51805,14469
chr16.window1k.dnd,7102,25913,6832
chr14.window1k.dnd,9047,31174,8496
chr15.window1k.dnd,7841,26592,7595
chr20.window1k.dnd,6384,21510,5932
chr21.window1k.dnd,3805,11746,3610
chr22.window1k.dnd,2291,7922,2259
