"Macaca_assamensis,Macaca_mulatta","Macaca_mulatta,Macaca_silenus","Macaca_assamensis,Macaca_silenus",chr,ILS,asymmetry
45360,42503,34297,chr1,0.6286836935166994,1.239262909292358
51519,48008,39007,chr2,0.6281129542206245,1.2307534545081653
39972,37657,30115,chr3,0.6290095040095041,1.250439980076374
38731,35029,28163,chr4,0.6199974490546786,1.243795050243227
37791,35313,28934,chr5,0.629637978008193,1.220467270339393
35863,32946,26468,chr6,0.623592262560744,1.2447483753967055
31288,29810,24182,chr7,0.6331144465290807,1.2327350922173517
30795,28010,23167,chr8,0.6243229395403308,1.2090473518366642
24474,22390,18607,chr9,0.6261856394434177,1.2033105820390175
26130,24886,19903,chr10,0.6315514883176582,1.2503642666934633
25754,24384,19441,chr11,0.6298595840699062,1.2542564682886683
25437,23665,19428,chr12,0.6288194951116299,1.2180872966851966
18845,16518,13408,chr13,0.6136023456562302,1.2319510739856803
17906,17090,13774,chr14,0.6328480623334016,1.2407434296500652
15843,14593,11826,chr15,0.6251242250721688,1.2339759851175376
15194,13715,11120,chr16,0.6204251917359914,1.233363309352518
13353,12376,10114,chr17,0.6274586390648105,1.2236503856041132
16813,14646,11944,chr18,0.6126304633320278,1.2262223710649698
6304,5566,4464,chr19,0.6140565691196278,1.2468637992831542
12419,11946,9515,chr20,0.6334415584415585,1.2554913294797687
7403,6687,5149,chr21,0.6152086906803887,1.2986987764614488
4362,3836,3159,chr22,0.6159196971031082,1.2143083254194365
23941,24557,22334,chrX,0.6620030494691664,1.09953434225844
1388,1336,1174,chrY,0.6439199589533093,1.1379897785349233
