Unnamed: 0,"Macaca_mulatta,Saguinus_midas","Lemur_catta,Macaca_mulatta","Lemur_catta,Saguinus_midas"
chr10.window1k.dnd,13176.0,4.0,4.0
chr11.window1k.dnd,13428.0,1.0,7.0
chr13.window1k.dnd,8652.0,,4.0
chr12.window1k.dnd,12140.0,5.0,4.0
chr17.window1k.dnd,7826.0,1.0,
chr8.window1k.dnd,12485.0,6.0,3.0
chr9.window1k.dnd,12514.0,8.0,2.0
chr16.window1k.dnd,7643.0,,1.0
chr14.window1k.dnd,9449.0,4.0,1.0
chr15.window1k.dnd,7268.0,7.0,1.0
chr1.window1k.dnd,24077.0,5.0,5.0
chr2.window1k.dnd,26558.0,4.0,5.0
chrY.window1k.dnd,296.0,9.0,1.0
chr3.window1k.dnd,20415.0,14.0,2.0
chrX.window1k.dnd,10630.0,13.0,4.0
chr19.window1k.dnd,2572.0,7.0,8.0
chr6.window1k.dnd,15462.0,8.0,3.0
chr7.window1k.dnd,14104.0,8.0,3.0
chr18.window1k.dnd,7357.0,2.0,1.0
chr5.window1k.dnd,17996.0,3.0,2.0
chr4.window1k.dnd,12197.0,1.0,1.0
chr20.window1k.dnd,6327.0,,1.0
chr21.window1k.dnd,2737.0,1.0,2.0
chr22.window1k.dnd,2692.0,1.0,
