Unnamed: 0,"Macaca_assamensis,Macaca_mulatta","Macaca_mulatta,Macaca_silenus","Macaca_assamensis,Macaca_silenus"
chr12.window1k.dnd,25437,23665,19428
chr13.window1k.dnd,18845,16518,13408
chr11.window1k.dnd,25754,24384,19441
chr10.window1k.dnd,26130,24886,19903
chr15.window1k.dnd,15843,14593,11826
chr14.window1k.dnd,17906,17090,13774
chr16.window1k.dnd,15194,13715,11120
chr17.window1k.dnd,13353,12376,10114
chr18.window1k.dnd,16813,14646,11944
chr19.window1k.dnd,6304,5566,4464
chr22.window1k.dnd,4362,3836,3159
chr4.window1k.dnd,38731,35029,28163
chr5.window1k.dnd,37791,35313,28934
chr7.window1k.dnd,31288,29810,24182
chr21.window1k.dnd,7403,6687,5149
chr20.window1k.dnd,12419,11946,9515
chr6.window1k.dnd,35863,32946,26468
chr3.window1k.dnd,39972,37657,30115
chrX.window1k.dnd,23941,24557,22334
chr2.window1k.dnd,51519,48008,39007
chrY.window1k.dnd,1388,1336,1174
chr1.window1k.dnd,45360,42503,34297
chr9.window1k.dnd,24474,22390,18607
chr8.window1k.dnd,30795,28010,23167
