Unnamed: 0,"Cercopithecus_mona,Chlorocebus_sabaeus","Cercopithecus_mitis,Cercopithecus_mona","Cercopithecus_mitis,Chlorocebus_sabaeus"
chr22.window1k.dnd,1684,11091,1699
chr21.window1k.dnd,2412,13200,2304
chr20.window1k.dnd,3478,24425,3419
chr8.window1k.dnd,8763,60469,8702
chr9.window1k.dnd,6845,49396,6769
chr1.window1k.dnd,12295,90588,12235
chr2.window1k.dnd,14966,100153,14760
chrY.window1k.dnd,475,3143,493
chr3.window1k.dnd,11626,82940,11687
chrX.window1k.dnd,7971,58020,7807
chr6.window1k.dnd,9208,70036,9268
chr7.window1k.dnd,8384,53293,8161
chr5.window1k.dnd,11060,76493,11016
chr4.window1k.dnd,11490,78584,11382
chr12.window1k.dnd,7801,52438,7792
chr13.window1k.dnd,5625,40282,5844
chr11.window1k.dnd,7008,51213,7059
chr10.window1k.dnd,8185,53450,8051
chr15.window1k.dnd,4524,31809,4547
chr14.window1k.dnd,4566,34464,4598
chr16.window1k.dnd,4154,30548,4231
chr17.window1k.dnd,3854,26976,3868
chr18.window1k.dnd,4852,32043,4858
chr19.window1k.dnd,1773,11656,1765
