Unnamed: 0,"Papio_hamadryas,Theropithecus_gelada","Papio_anubis,Papio_hamadryas","Papio_anubis,Theropithecus_gelada"
chr8.window1k.dnd,10108,61703,10263
chr9.window1k.dnd,7639,48336,7739
chr1.window1k.dnd,15430,93759,15293
chr2.window1k.dnd,16748,102260,16804
chrY.window1k.dnd,429,2644,809
chr3.window1k.dnd,14201,84251,13876
chrX.window1k.dnd,9642,58116,9060
chr6.window1k.dnd,11476,69651,11376
chr22.window1k.dnd,1690,11579,1803
chr7.window1k.dnd,10231,63338,10172
chr21.window1k.dnd,2412,13925,2483
chr5.window1k.dnd,12857,76533,12702
chr4.window1k.dnd,12988,77442,12840
chr20.window1k.dnd,4011,25695,3964
chr18.window1k.dnd,5324,32443,5409
chr19.window1k.dnd,1958,12301,1810
chr15.window1k.dnd,5326,33031,5229
chr14.window1k.dnd,6108,36198,6074
chr16.window1k.dnd,4628,30627,4264
chr17.window1k.dnd,4296,27326,4247
chr12.window1k.dnd,8876,52908,8587
chr13.window1k.dnd,6681,40332,6591
chr11.window1k.dnd,8629,52776,8600
chr10.window1k.dnd,8836,54438,8996
