Unnamed: 0,"Cebus_albifrons,Saguinus_midas","Aotus_nancymaae,Saguinus_midas","Aotus_nancymaae,Cebus_albifrons"
chr19.window1k.dnd,2674,2939,2824
chr18.window1k.dnd,8879,9785,9324
chr17.window1k.dnd,6627,7079,7149
chr16.window1k.dnd,8637,9346,9039
chr14.window1k.dnd,10382,11452,10840
chr15.window1k.dnd,8612,9404,8726
chr10.window1k.dnd,15407,16701,16046
chr11.window1k.dnd,15300,16698,15587
chr13.window1k.dnd,11569,12840,11991
chr12.window1k.dnd,14919,16588,15658
chr8.window1k.dnd,17300,18777,17828
chr9.window1k.dnd,12812,13914,13136
chr1.window1k.dnd,25846,28407,26671
chrY.window1k.dnd,902,940,843
chr2.window1k.dnd,30743,33221,31017
chrX.window1k.dnd,15295,16192,15449
chr3.window1k.dnd,24183,26275,24881
chr6.window1k.dnd,19778,21304,20228
chr20.window1k.dnd,7603,7999,7647
chr21.window1k.dnd,3573,4030,3723
chr7.window1k.dnd,17594,19472,18013
chr5.window1k.dnd,21757,23766,22281
chr4.window1k.dnd,21569,23415,22018
chr22.window1k.dnd,2787,3189,2925
