Unnamed: 0,"Cebus_albifrons,Saguinus_midas","Ateles_fusciceps,Saguinus_midas","Ateles_fusciceps,Cebus_albifrons"
chr21.window1k.dnd,9185,1146,1214
chr20.window1k.dnd,18687,2304,2361
chr22.window1k.dnd,6990,968,995
chr18.window1k.dnd,22534,2734,2788
chr19.window1k.dnd,6660,951,966
chr9.window1k.dnd,32092,4160,4214
chr8.window1k.dnd,43713,5185,5233
chr16.window1k.dnd,22367,2458,2540
chr3.window1k.dnd,60244,7683,7701
chrX.window1k.dnd,38003,4692,4632
chr2.window1k.dnd,76748,9490,9570
chrY.window1k.dnd,2122,264,300
chr17.window1k.dnd,16382,2145,2453
chr15.window1k.dnd,21580,2666,2812
chr14.window1k.dnd,26603,3140,3056
chr1.window1k.dnd,64185,8599,8654
chr11.window1k.dnd,38230,4781,4748
chr4.window1k.dnd,54369,6424,6509
chr5.window1k.dnd,55323,6552,6545
chr10.window1k.dnd,38661,4795,4904
chr7.window1k.dnd,44568,5482,5469
chr12.window1k.dnd,37772,4695,4918
chr13.window1k.dnd,29033,3676,3798
chr6.window1k.dnd,49213,6005,6165
