Lophocebus_aterrimus.Papio_hamadryas,Papio_hamadryas.Theropithecus_gelada,Lophocebus_aterrimus.Theropithecus_gelada,chr,ILS,asymmetry
48148,36930,35020,chr1,0.5990940731735749,1.0545402627070246
53776,42008,38923,chr2,0.6007928318498668,1.079259049919071
41858,32739,30488,chr3,0.601674834657658,1.073832327473104
39614,30481,28216,chr4,0.5970542462186327,1.0802736036291465
41128,31128,28984,chr5,0.5937574081390755,1.07397184653602
35778,28087,26482,chr6,0.6039934917595493,1.0606072048938902
33120,25746,24221,chr7,0.6013816842586687,1.062961892572561
33057,24841,23403,chr8,0.5933998351803791,1.0614451138742895
25712,19187,18238,chr9,0.5927586043049242,1.0520342142778814
30331,20743,19248,chr10,0.568684053354569,1.0776704073150458
27437,20974,19885,chr11,0.5982634414899848,1.0547648981644455
27701,21639,20535,chr12,0.6035635062611807,1.0537618699780862
20388,15716,14431,chr13,0.5965568417928169,1.0890444182662324
19222,14693,14017,chr14,0.5989735458566302,1.0482271527430977
17117,13158,12314,chr15,0.5980887083519218,1.068539873314926
16099,11932,11184,chr16,0.5894683156955247,1.0668812589413448
14278,10854,10415,chr17,0.5983345992629476,1.042150744119059
17254,13413,12125,chr18,0.5967937932323799,1.1062268041237113
6430,4963,4659,chr19,0.5994268626962372,1.0652500536595837
13500,10366,9545,chr20,0.5959414564065727,1.086013619696176
7464,5784,5411,chr21,0.5999785626239348,1.068933653668453
5019,3813,3534,chr22,0.594129063561378,1.0789473684210527
32127,22295,21369,chrX,0.5761106199944585,1.0433338013009499
1631,1123,974,chrY,0.5625,1.1529774127310062
