Colobus_guereza.Trachypithecus_phayrei,Macaca_mulatta.Trachypithecus_phayrei,Colobus_guereza.Macaca_mulatta,chr,ILS,asymmetry
92492,4098,3926,chr1,0.0798280870707151,1.04381049414162
105935,4218,4041,chr2,0.07232429024291995,1.0438010393466963
84654,3801,3469,chr3,0.07908707192898481,1.0957048140674546
75369,3522,3251,chr4,0.08245477344111417,1.0833589664718548
66221,3306,3037,chr5,0.08741249104239017,1.0885742509054988
69478,2939,2733,chr6,0.07547571523619427,1.075375045737285
63777,3187,2988,chr7,0.08827481701738335,1.0665997322623828
61522,2926,2717,chr8,0.08401697312588402,1.0769230769230769
47814,2224,2089,chr9,0.08274023059067279,1.0646242221158448
54764,2615,2553,chr10,0.08623106187011947,1.0242851547199374
51666,2313,2146,chr11,0.07944766146993318,1.0778191985088537
52767,2308,2187,chr12,0.07849882993957598,1.0553269318701417
35187,1641,1438,chr13,0.08046307426958658,1.1411682892906816
36011,1713,1597,chr14,0.08417893746344193,1.0726361928616155
33105,1650,1470,chr15,0.08612836438923395,1.1224489795918366
28794,1422,1371,chr16,0.08842245227466997,1.0371991247264771
25882,1224,1213,chr17,0.08605529856280236,1.0090684253915911
32317,1613,1572,chr18,0.0897132555912343,1.0260814249363868
10785,627,685,chr19,0.10845664214268,0.9153284671532846
25936,1284,1196,chr20,0.08727477477477477,1.0735785953177257
13288,787,728,chr21,0.10234411943524961,1.081043956043956
10516,545,556,chr22,0.0947748988551261,0.9802158273381295
53834,3204,1928,chrX,0.0870332055760947,1.661825726141079
2577,198,237,chrY,0.14442231075697212,0.8354430379746836
