Unnamed: 0,"Mandrillus_sphinx,Papio_hamadryas","Cercocebus_atys,Mandrillus_sphinx","Cercocebus_atys,Papio_hamadryas"
chr22.window1k.dnd,3064,6023,3079
chr20.window1k.dnd,8711,15782,8575
chr21.window1k.dnd,4953,8677,5158
chr14.window1k.dnd,12632,22192,12627
chr15.window1k.dnd,11352,19713,10994
chr17.window1k.dnd,9206,16977,8830
chr8.window1k.dnd,21160,37144,21183
chr9.window1k.dnd,16701,30573,16330
chr16.window1k.dnd,10196,18642,10044
chr13.window1k.dnd,13183,23500,13364
chr12.window1k.dnd,18641,32314,18273
chr10.window1k.dnd,13178,43382,12872
chr11.window1k.dnd,17354,33335,16987
chr5.window1k.dnd,26399,47774,26031
chr4.window1k.dnd,26019,45357,25866
chr19.window1k.dnd,4040,7709,3747
chr6.window1k.dnd,23520,42727,23127
chr7.window1k.dnd,21915,39056,21314
chr18.window1k.dnd,10914,20399,10879
chr2.window1k.dnd,34796,63806,34953
chrY.window1k.dnd,930,1867,857
chr3.window1k.dnd,27473,49607,26881
chrX.window1k.dnd,19337,37413,17773
chr1.window1k.dnd,31599,56490,30569
