Unnamed: 0,"Macaca_mulatta,Papio_hamadryas","Mandrillus_sphinx,Papio_hamadryas","Macaca_mulatta,Mandrillus_sphinx"
chr7.window1k.dnd,14506,39809,14843
chr6.window1k.dnd,17497,49747,18417
chr4.window1k.dnd,18652,57229,19278
chr5.window1k.dnd,20148,56881,20306
chr1.window1k.dnd,22930,64899,23325
chrX.window1k.dnd,14472,41238,16270
chr3.window1k.dnd,20829,59025,21541
chr18.window1k.dnd,8456,23957,8753
chrY.window1k.dnd,980,1843,694
chr19.window1k.dnd,3225,8624,3214
chr2.window1k.dnd,27125,74841,28408
chr12.window1k.dnd,13845,39417,14365
chr9.window1k.dnd,12512,36219,13144
chr8.window1k.dnd,16145,44761,16799
chr13.window1k.dnd,10026,28310,10301
chr11.window1k.dnd,14144,37887,14172
chr10.window1k.dnd,13808,39506,14657
chr15.window1k.dnd,8221,22842,8478
chr14.window1k.dnd,9363,26888,9618
chr16.window1k.dnd,7700,22827,7906
chr17.window1k.dnd,7066,19672,7350
chr22.window1k.dnd,2455,6926,2470
chr21.window1k.dnd,3758,10468,3808
chr20.window1k.dnd,6473,19272,6651
