Chlorocebus_sabaeus.Erythrocebus_patas,Cercopithecus_mona.Chlorocebus_sabaeus,Cercopithecus_mona.Erythrocebus_patas,chr,ILS,asymmetry
96906,8645,8438,chr1,0.14986533788348,1.0245318795923204
108336,10137,10153,chr2,0.15774415747982523,0.9984241111001675
91574,8167,7883,chr3,0.1491303055080651,1.0360268933147279
86498,8107,8101,chr4,0.15780967032111073,1.0007406493025552
83291,7491,7226,chr5,0.15016121132968738,1.0366731248270136
76164,5919,5760,chr6,0.13295310952494793,1.0276041666666667
58721,5738,5625,chr7,0.16213401061583244,1.0200888888888888
58036,5137,5119,chr8,0.1501786446435893,1.0035163117796444
53616,4390,4330,chr9,0.1398870636550308,1.0138568129330254
58374,5707,5789,chr10,0.16453413482181192,0.9858352046985662
55090,4846,4788,chr11,0.14884741363327358,1.0121136173767753
57101,5226,5132,chr12,0.15354511629285936,1.0183164458300857
42460,3848,3702,chr13,0.15096980603879223,1.0394381415451108
37439,3238,3026,chr14,0.14333112143331123,1.0700594844679445
34781,2846,2969,chr15,0.14324071337077546,0.9585719097339171
33083,2823,2828,chr16,0.1458924975473744,0.9982319660537482
28507,2996,2911,chr17,0.17164526064973556,1.0291995877705256
34715,3472,3446,chr18,0.1661662623399707,1.0075449796865932
12393,1399,1422,chr19,0.1854213224661496,0.9838255977496484
28904,1678,1659,chr20,0.1035017524270339,1.0114526823387582
15288,1330,1396,chr21,0.15132674586432773,0.9527220630372493
11743,1371,1287,chr22,0.18457051593639331,1.0652680652680653
59283,5332,5074,chrX,0.14932055274146566,1.0508474576271187
2625,558,663,chrY,0.3174726989079563,0.8416289592760181
