"Hylobates_lar,Hylobates_pileatus","Hylobates_pileatus,Symphalangus_syndactylus","Hylobates_lar,Symphalangus_syndactylus",chr,ILS,asymmetry
132322,870,819,chr1,0.012603443000947684,1.0622710622710623
146738,901,863,chr2,0.011878627897267378,1.0440324449594438
121917,600,594,chr3,0.009698564709895947,1.0101010101010102
105707,695,633,chr4,0.012407156537581164,1.0979462875197472
94635,547,592,chr5,0.011892580449808926,0.9239864864864865
100584,562,511,chr6,0.010555101960514278,1.0998043052837574
89543,762,687,chr7,0.015924476877088097,1.1091703056768558
86717,433,433,chr8,0.0098877636070927,1.0
65813,604,544,chr9,0.01714430788070668,1.1102941176470589
75579,596,550,chr10,0.014936461388074291,1.0836363636363637
77024,411,421,chr11,0.010686395396629675,0.9762470308788599
76269,448,450,chr12,0.01163709875983257,0.9955555555555555
55818,411,340,chr13,0.013275822446923227,1.2088235294117646
50727,273,300,chr14,0.011169590643274854,0.91
43767,413,325,chr15,0.016582406471183014,1.2707692307692309
41283,280,236,chr16,0.012344792937630087,1.1864406779661016
37507,342,327,chr17,0.01752409891031014,1.0458715596330275
47866,247,224,chr18,0.009744088379502245,1.1026785714285714
20286,162,124,chr19,0.013902391600233327,1.3064516129032258
36104,317,241,chr20,0.015220118924226719,1.3153526970954357
20380,143,102,chr21,0.01187878787878788,1.4019607843137254
15491,172,131,chr22,0.01918450044320628,1.3129770992366412
79000,1059,1069,chrX,0.026230154817079184,0.990645463049579
5523,254,291,chrY,0.08981542518127884,0.872852233676976
