Unnamed: 0,"Pithecia_pithecia,Saguinus_midas","Macaca_mulatta,Pithecia_pithecia","Macaca_mulatta,Saguinus_midas"
chr22.window1k.dnd,4439,6,3
chr20.window1k.dnd,11523,6,9
chr21.window1k.dnd,5479,4,4
chr1.window1k.dnd,42804,39,20
chrX.window1k.dnd,22016,44,21
chr3.window1k.dnd,40258,22,19
chrY.window1k.dnd,716,2,7
chr2.window1k.dnd,49283,40,29
chr7.window1k.dnd,27384,26,10
chr6.window1k.dnd,30632,25,14
chr19.window1k.dnd,3953,15,21
chr4.window1k.dnd,27579,25,15
chr5.window1k.dnd,33927,23,21
chr18.window1k.dnd,13552,14,2
chr13.window1k.dnd,17139,10,7
chr12.window1k.dnd,22761,33,11
chr10.window1k.dnd,23274,21,13
chr11.window1k.dnd,25260,16,11
chr9.window1k.dnd,22673,15,15
chr14.window1k.dnd,16696,7,8
chr15.window1k.dnd,14773,13,8
chr8.window1k.dnd,25486,16,19
chr17.window1k.dnd,12285,14,4
chr16.window1k.dnd,12484,13,8
