Unnamed: 0,"Pongo_abelii,Pongo_pygmaeus","Homo_sapiens,Pongo_abelii","Homo_sapiens,Pongo_pygmaeus"
chr1.window1k.dnd,136359,225,162
chr2.window1k.dnd,149834,218,111
chrY.window1k.dnd,4769,34,23
chr3.window1k.dnd,125097,110,79
chrX.window1k.dnd,87085,153,97
chr6.window1k.dnd,105034,59,43
chr18.window1k.dnd,48714,30,32
chr19.window1k.dnd,20507,110,67
chr7.window1k.dnd,89357,263,177
chr5.window1k.dnd,97619,103,32
chr4.window1k.dnd,111009,125,118
chr11.window1k.dnd,78178,99,55
chr10.window1k.dnd,79411,218,83
chr12.window1k.dnd,78244,92,27
chr13.window1k.dnd,57456,133,121
chr8.window1k.dnd,87838,59,46
chr16.window1k.dnd,43133,81,84
chr17.window1k.dnd,40282,218,168
chr9.window1k.dnd,70490,212,95
chr15.window1k.dnd,48562,205,128
chr14.window1k.dnd,53036,84,38
chr21.window1k.dnd,20674,85,76
chr20.window1k.dnd,36981,80,56
chr22.window1k.dnd,17188,89,68
