Unnamed: 0,"Nycticebus_bengalensis,Nycticebus_pygmaeus","Loris_tardigradus,Nycticebus_pygmaeus","Loris_tardigradus,Nycticebus_bengalensis"
chr22.window1k.dnd,4125.0,7.0,2.0
chr20.window1k.dnd,10325.0,7.0,9.0
chr21.window1k.dnd,4246.0,5.0,4.0
chr5.window1k.dnd,30957.0,34.0,34.0
chr4.window1k.dnd,23903.0,23.0,27.0
chr6.window1k.dnd,27774.0,31.0,28.0
chr7.window1k.dnd,25023.0,20.0,24.0
chrY.window1k.dnd,384.0,16.0,
chr2.window1k.dnd,43708.0,38.0,36.0
chrX.window1k.dnd,18446.0,37.0,31.0
chr3.window1k.dnd,35742.0,44.0,41.0
chr1.window1k.dnd,37054.0,39.0,37.0
chr19.window1k.dnd,3894.0,30.0,22.0
chr18.window1k.dnd,12680.0,12.0,25.0
chr13.window1k.dnd,14619.0,17.0,11.0
chr12.window1k.dnd,19670.0,24.0,19.0
chr10.window1k.dnd,21573.0,25.0,18.0
chr8.window1k.dnd,22010.0,22.0,18.0
chr9.window1k.dnd,21131.0,36.0,30.0
chr11.window1k.dnd,23190.0,22.0,18.0
chr14.window1k.dnd,14589.0,25.0,12.0
chr15.window1k.dnd,13455.0,18.0,11.0
chr17.window1k.dnd,11243.0,13.0,12.0
chr16.window1k.dnd,11503.0,7.0,16.0
