Unnamed: 0,"Gorilla_gorilla_gorilla,Homo_sapiens","Gorilla_gorilla_gorilla,Pongo_pygmaeus","Homo_sapiens,Pongo_pygmaeus"
chr14.window1k.dnd,51501,345,373
chr15.window1k.dnd,47437,411,399
chr17.window1k.dnd,39313,232,238
chr16.window1k.dnd,42036,289,279
chr13.window1k.dnd,56274,360,365
chr12.window1k.dnd,76423,453,462
chr10.window1k.dnd,77701,503,463
chr11.window1k.dnd,73390,509,473
chr19.window1k.dnd,19944,137,168
chr18.window1k.dnd,47673,286,301
chr7.window1k.dnd,87222,577,610
chr6.window1k.dnd,100881,659,696
chr4.window1k.dnd,108220,711,748
chr5.window1k.dnd,95321,584,521
chr22.window1k.dnd,16717,209,162
chr1.window1k.dnd,133180,868,970
chr20.window1k.dnd,36267,263,271
chrX.window1k.dnd,84506,723,807
chr3.window1k.dnd,122385,717,755
chrY.window1k.dnd,2738,1632,292
chr2.window1k.dnd,146182,939,1025
chr21.window1k.dnd,20046,189,183
chr9.window1k.dnd,68158,632,642
chr8.window1k.dnd,85928,497,496
