file                                      format  type  num_seqs        sum_len     min_len        avg_len      max_len
Aotus_nancymaae.sm.fasta.gz               FASTA   DNA     28,921  2,861,668,348         620       98,947.8   42,888,418
Ateles_fusciceps.sm.fasta.gz              FASTA   DNA      2,723  2,683,028,796       2,068      985,320.9  113,809,029
Callithrix_jacchus.sm.fasta.gz            FASTA   DNA      1,096  2,863,864,636       1,254    2,613,015.2  216,692,980
Canis_familiaris.sm.fasta.gz              FASTA   DNA      3,268  2,410,976,875       1,115        737,753  123,869,142
Cebus_albifrons.sm.fasta.gz               FASTA   DNA      2,079  2,874,442,237       3,988    1,382,608.1   59,636,049
Cercocebus_atys.sm.fasta.gz               FASTA   DNA     11,433  2,848,246,356         322        249,125   47,169,369
Cercopithecus_mitis.sm.fasta.gz           FASTA   DNA      3,571  2,793,076,453           3      782,155.3   52,952,131
Cercopithecus_mona.sm.fasta.gz            FASTA   DNA      1,889  2,902,804,697       5,007    1,536,688.6   81,511,750
Chlorocebus_aethiops.sm.fasta.gz          FASTA   DNA      2,566  2,823,243,693         193    1,100,250.9   49,577,097
Chlorocebus_sabaeus.sm.fasta.gz           FASTA   DNA      2,003  2,789,639,778         500    1,392,730.8  139,301,422
Colobus_angolensis_palliatus.sm.fasta.gz  FASTA   DNA     13,124  2,970,124,662       1,000      226,312.5   35,326,507
Colobus_guereza.sm.fasta.gz               FASTA   DNA         23  2,963,502,603  34,576,308  128,847,939.3  200,372,422
Daubentonia_madagascariensis.sm.fasta.gz  FASTA   DNA      2,708  2,412,055,963         559      890,714.9  133,081,377
Erythrocebus_patas.sm.fasta.gz            FASTA   DNA      4,898  3,096,929,461       4,032      632,284.5   91,105,575
Felis_catus.sm.fasta.gz                   FASTA   DNA      4,508  2,521,863,845       1,969      559,419.7  242,100,913
Galago_moholi.sm.fasta.gz                 FASTA   DNA     11,900  2,543,922,824         489        213,775    4,460,578
Gorilla_gorilla_gorilla.sm.fasta.gz       FASTA   DNA     15,297  3,084,595,669          21      201,647.1  221,943,068
Homo_sapiens.sm.fasta.gz                  FASTA   DNA        194  3,099,750,718         970   15,978,096.5  248,956,422
Hoolock_hoolock.sm.fasta.gz               FASTA   DNA      2,972  2,785,098,935       1,056      937,112.7   94,976,773
Hylobates_lar.sm.fasta.gz                 FASTA   DNA         23  2,851,478,483  25,970,782  123,977,325.3  256,317,233
Hylobates_pileatus.sm.fasta.gz            FASTA   DNA      2,298  2,787,373,749       1,191    1,212,956.4   74,887,326
Lemur_catta.sm.fasta.gz                   FASTA   DNA        141  2,122,351,751       1,287   15,052,140.1  285,822,530
Lophocebus_aterrimus.sm.fasta.gz          FASTA   DNA      4,389  2,903,351,443       2,649      661,506.4   31,666,446
Loris_tardigradus.sm.fasta.gz             FASTA   DNA      3,586  2,737,734,828         334      763,450.9   39,164,049
Macaca_arctoides.sm.fasta.gz              FASTA   DNA      1,124  2,753,320,893       3,989    2,449,573.7  147,759,340
Macaca_assamensis.sm.fasta.gz             FASTA   DNA      1,153  2,759,375,986       4,003    2,393,214.2  105,083,019
Macaca_fascicularis.sm.fasta.gz           FASTA   DNA      2,338  2,770,900,045       3,986    1,185,158.3  105,288,805
Macaca_fuscata.sm.fasta.gz                FASTA   DNA      1,216  2,748,481,177       3,001    2,260,264.1  105,192,022
Macaca_leonina.sm.fasta.gz                FASTA   DNA      2,915  2,808,882,299       3,693        963,596   70,486,926
Macaca_mulatta.sm.fasta.gz                FASTA   DNA         22  2,955,490,605  13,055,603    134,340,482  227,617,462
Macaca_nemestrina.sm.fasta.gz             FASTA   DNA      9,733  2,948,703,511         353      302,959.4   63,123,227
Macaca_nigra.sm.fasta.gz                  FASTA   DNA     32,106  2,973,416,866       1,000       92,612.5   93,381,627
Macaca_silenus.sm.fasta.gz                FASTA   DNA      1,809  2,778,791,713       3,010    1,536,092.7   84,276,269
Macaca_sylvanus.sm.fasta.gz               FASTA   DNA     34,882  2,992,556,657       1,000       85,790.9  105,309,894
Macaca_thibetana.sm.fasta.gz              FASTA   DNA      1,641  2,775,160,973       4,006    1,691,140.1  105,193,100
Macaca_tonkeana.sm.fasta.gz               FASTA   DNA     47,630  3,004,470,813       1,000       63,079.4   86,213,462
Mandrillus_leucophaeus.sm.fasta.gz        FASTA   DNA     35,888  2,935,729,887       1,000       81,802.5   93,482,693
Mandrillus_sphinx.sm.fasta.gz             FASTA   DNA      2,118  2,836,346,068       4,981    1,339,162.4  104,669,186
Microcebus_murinus.sm.fasta.gz            FASTA   DNA      7,677  2,487,392,024          60      324,005.7  159,902,609
Mus_musculus.sm.fasta.gz                  FASTA   DNA         66  2,730,871,774       1,976   41,376,845.1  195,471,971
Nomascus_leucogenys.sm.fasta.gz           FASTA   DNA      2,649  2,783,107,017       1,333    1,050,625.5   64,531,729
Nycticebus_bengalensis.sm.fasta.gz        FASTA   DNA      3,391  2,856,368,736       3,981      842,338.2  196,305,487
Nycticebus_pygmaeus.sm.fasta.gz           FASTA   DNA      4,753  2,828,132,058       1,000      595,020.4  199,412,804
Ornithorhynchus_anatinus.sm.fasta.gz      FASTA   DNA        693  1,877,718,804       1,083    2,709,550.9  186,506,016
Oryctolagus_cuniculus.sm.fasta.gz         FASTA   DNA      3,242  2,737,490,501       3,025      844,383.3  194,850,757
Otolemur_garnettii.sm.fasta.gz            FASTA   DNA      7,793  2,519,724,550       1,000      323,331.8   73,491,278
Pan_paniscus.sm.fasta.gz                  FASTA   DNA     10,274  3,286,643,938         217      319,899.2  247,869,975
Pan_troglodytes.sm.fasta.gz               FASTA   DNA      4,344  3,024,031,013         223      696,139.7  224,244,399
Papio_anubis.sm.fasta.gz                  FASTA   DNA     63,234  2,959,356,508         200       46,800.1  217,458,864
Papio_hamadryas.sm.fasta.gz               FASTA   DNA      3,047  3,054,335,410       2,999    1,002,407.4  125,902,702
Phascolarctos_cinereus.sm.fasta.gz        FASTA   DNA      1,907  3,192,581,492         353    1,674,138.2   40,558,015
Piliocolobus_tephrosceles.sm.fasta.gz     FASTA   DNA     47,449  3,038,007,327         416       64,026.8   96,105,737
Pithecia_pithecia.sm.fasta.gz             FASTA   DNA      1,360  2,721,439,713       3,590    2,001,058.6   52,183,408
Pongo_abelii.sm.fasta.gz                  FASTA   DNA      5,260  3,065,035,716         213      582,706.4  227,913,704
Pongo_pygmaeus.sm.fasta.gz                FASTA   DNA      3,443  2,866,029,761       1,031      832,422.2   72,996,786
Prolemur_simus.sm.fasta.gz                FASTA   DNA    128,596  2,411,593,676         200       18,753.3   17,974,040
Pygathrix_nemaeus.sm.fasta.gz             FASTA   DNA      3,754  2,896,210,064       2,401      771,499.8   67,414,671
Rhinopithecus_roxellana.sm.fasta.gz       FASTA   DNA      3,256  3,038,460,517         200      933,188.1  206,558,726
Rhinopithecus_strykeri.sm.fasta.gz        FASTA   DNA      4,625  2,934,222,284       1,569      634,426.4   69,256,916
Saguinus_midas.sm.fasta.gz                FASTA   DNA         24  2,968,712,378  38,051,839  123,696,349.1  224,379,228
Sapajus_apella.sm.fasta.gz                FASTA   DNA      4,185  2,764,443,388       3,139      660,559.9   50,653,021
Sus_scrofa.sm.fasta.gz                    FASTA   DNA        613  2,501,912,388      15,096    4,081,423.1  274,330,532
Symphalangus_syndactylus.sm.fasta.gz      FASTA   DNA      1,409  2,774,050,050       2,744    1,968,807.7   60,974,793
Theropithecus_gelada.sm.fasta.gz          FASTA   DNA     15,307  2,889,614,139         929      188,777.3  222,973,213
Trachypithecus_phayrei.sm.fasta.gz        FASTA   DNA      2,946  2,870,799,684       2,902      974,473.8   69,181,690
tree_shrew.sm.fasta.gz                    FASTA   DNA      1,647  2,667,507,236       7,542    1,619,615.8  224,450,918
