Unnamed: 0,"Macaca_mulatta,Mus_musculus","Macaca_mulatta,tree_shrew","Mus_musculus,tree_shrew"
chr21.window1k.dnd,516,364,274
chr20.window1k.dnd,1337,941,749
chr22.window1k.dnd,596,382,286
chr9.window1k.dnd,2783,1986,1517
chr8.window1k.dnd,2422,1755,1393
chrX.window1k.dnd,2291,1678,1608
chr3.window1k.dnd,4065,3012,2879
chrY.window1k.dnd,53,33,39
chr2.window1k.dnd,5331,4121,3308
chr1.window1k.dnd,5066,4081,3164
chr4.window1k.dnd,2496,1879,1770
chr5.window1k.dnd,3833,3026,2402
chr7.window1k.dnd,2895,2166,1767
chr6.window1k.dnd,3060,2190,1980
chr16.window1k.dnd,1659,1309,896
chr17.window1k.dnd,1835,1473,1099
chr15.window1k.dnd,1631,1302,1169
chr14.window1k.dnd,2070,1540,1283
chr11.window1k.dnd,2896,2201,1875
chr10.window1k.dnd,2727,2138,1691
chr12.window1k.dnd,2503,1806,1468
chr13.window1k.dnd,1522,1289,949
chr18.window1k.dnd,1498,1197,881
chr19.window1k.dnd,594,479,348
