Unnamed: 0,"Cercopithecus_mona,Macaca_mulatta","Colobus_guereza,Macaca_mulatta","Cercopithecus_mona,Colobus_guereza"
chr19.window1k.dnd,10839,1090,1018
chr18.window1k.dnd,30812,2733,2675
chr14.window1k.dnd,34210,2890,2877
chr15.window1k.dnd,30906,2361,2354
chr17.window1k.dnd,25367,2088,1960
chr16.window1k.dnd,27939,2443,2397
chr13.window1k.dnd,33418,2821,2778
chr12.window1k.dnd,50910,4134,4069
chr10.window1k.dnd,51975,4829,4767
chr11.window1k.dnd,50832,4052,3905
chr9.window1k.dnd,45437,3969,3931
chr8.window1k.dnd,58993,5020,4929
chr7.window1k.dnd,52243,4800,4699
chr6.window1k.dnd,65373,5309,5414
chr4.window1k.dnd,71592,6458,6427
chr5.window1k.dnd,64354,5261,5069
chr1.window1k.dnd,85303,6967,6925
chr22.window1k.dnd,10391,901,908
chr3.window1k.dnd,80441,6777,6694
chr20.window1k.dnd,24492,2266,2240
chrX.window1k.dnd,55646,2675,2470
chr21.window1k.dnd,12425,1341,1374
chr2.window1k.dnd,100336,8381,8017
chrY.window1k.dnd,2179,314,646
