Nycticebus_bengalensis.Otolemur_garnettii,Lemur_catta.Otolemur_garnettii,Lemur_catta.Nycticebus_bengalensis,chr,ILS,asymmetry
34566.0,6.0,5.0,chr1,0.0003181305492090118,1.2
40232.0,7.0,6.0,chr2,0.0003230214933532116,1.1666666666666667
33088.0,7.0,10.0,chr3,0.0005135175955293763,0.7
19960.0,5.0,6.0,chr4,0.0005507986580541786,0.8333333333333334
28151.0,8.0,11.0,chr5,0.0006744763933262336,0.7272727272727273
25267.0,9.0,6.0,chr6,0.0005933074914959259,1.5
23188.0,4.0,1.0,chr7,0.0002155822877592377,4.0
20106.0,2.0,5.0,chr8,0.0003480336101029185,0.4
19419.0,8.0,2.0,chr9,0.0005146945287971588,4.0
19552.0,5.0,4.0,chr10,0.0004600991769336946,1.25
21517.0,5.0,5.0,chr11,0.0004645329121568263,1.0
17890.0,9.0,2.0,chr12,0.0006144908105692419,4.5
13275.0,6.0,2.0,chr13,0.0006022735827749755,3.0
13540.0,3.0,,chr14,,
12493.0,1.0,2.0,chr15,0.00024007682458386683,0.5
10400.0,3.0,2.0,chr16,0.0004805382027871216,1.5
10488.0,2.0,1.0,chr17,0.00028595939376608524,2.0
11529.0,3.0,4.0,chr18,0.0006067961165048543,0.75
3532.0,13.0,6.0,chr19,0.005350605463249789,2.1666666666666665
9417.0,2.0,2.0,chr20,0.0004245833775607685,1.0
4553.0,3.0,,chr21,,
3893.0,4.0,1.0,chr22,0.0012827090815802976,4.0
16665.0,15.0,23.0,chrX,0.0022750404119020536,0.6521739130434783
358.0,1.0,,chrY,,
