Unnamed: 0,"Lemur_catta,Microcebus_murinus","Daubentonia_madagascariensis,Lemur_catta","Daubentonia_madagascariensis,Microcebus_murinus"
chr19.window1k.dnd,3310,35,25
chr18.window1k.dnd,11934,74,43
chr8.window1k.dnd,20543,102,80
chr9.window1k.dnd,19750,92,73
chr17.window1k.dnd,10657,42,52
chr5.window1k.dnd,28781,128,119
chr16.window1k.dnd,10718,58,37
chr4.window1k.dnd,19653,129,72
chr6.window1k.dnd,26051,150,123
chr14.window1k.dnd,13966,73,58
chr7.window1k.dnd,23643,95,98
chr15.window1k.dnd,12776,76,43
chr10.window1k.dnd,19587,87,72
chr2.window1k.dnd,41903,210,149
chrY.window1k.dnd,400,16,8
chr11.window1k.dnd,22038,108,82
chr3.window1k.dnd,32856,189,139
chrX.window1k.dnd,17242,98,60
chr1.window1k.dnd,35545,195,157
chr13.window1k.dnd,13158,82,55
chr12.window1k.dnd,18361,98,85
chr20.window1k.dnd,9572,34,22
chr21.window1k.dnd,4669,29,19
chr22.window1k.dnd,3832,16,8
