Unnamed: 0,"Hoolock_hoolock,Nomascus_leucogenys","Hylobates_lar,Nomascus_leucogenys","Hoolock_hoolock,Hylobates_lar"
chr12.window1k.dnd,25822,23078,26411
chr13.window1k.dnd,19045,17420,19831
chr11.window1k.dnd,26105,23312,25556
chr10.window1k.dnd,26487,23891,26134
chr15.window1k.dnd,14987,13209,14955
chr8.window1k.dnd,30870,27187,29802
chr9.window1k.dnd,22931,20980,23663
chr14.window1k.dnd,17510,15804,17684
chr16.window1k.dnd,14507,13142,14441
chr17.window1k.dnd,12711,11592,12818
chr1.window1k.dnd,45300,39666,44732
chrY.window1k.dnd,1921,2095,2218
chr2.window1k.dnd,51345,45875,51636
chrX.window1k.dnd,29674,26464,30140
chr3.window1k.dnd,42035,37841,41820
chr6.window1k.dnd,34491,31353,34121
chr7.window1k.dnd,30169,27363,30124
chr5.window1k.dnd,32637,29117,32278
chr18.window1k.dnd,16506,15017,16320
chr19.window1k.dnd,6993,6389,6789
chr4.window1k.dnd,36919,32478,35947
chr22.window1k.dnd,5325,5090,5350
chr21.window1k.dnd,7343,6295,6539
chr20.window1k.dnd,12587,11264,12297
