Unnamed: 0,"Macaca_mulatta,tree_shrew","Lemur_catta,tree_shrew","Lemur_catta,Macaca_mulatta"
chr19.window1k.dnd,260,435,844
chr18.window1k.dnd,561,1251,2471
chr10.window1k.dnd,1050,2261,4325
chr11.window1k.dnd,1172,2218,4861
chr13.window1k.dnd,611,1311,2814
chr12.window1k.dnd,944,1962,3884
chr17.window1k.dnd,691,1489,2997
chr16.window1k.dnd,652,1367,2448
chr14.window1k.dnd,694,1596,3401
chr15.window1k.dnd,588,1261,2794
chr6.window1k.dnd,1058,2470,5210
chr7.window1k.dnd,1083,2390,4705
chr5.window1k.dnd,1494,3164,6254
chr4.window1k.dnd,979,2118,4004
chr1.window1k.dnd,2040,4089,8362
chrY.window1k.dnd,16,51,82
chr2.window1k.dnd,1950,4111,9003
chrX.window1k.dnd,830,1687,3957
chr3.window1k.dnd,1440,3078,7026
chr20.window1k.dnd,495,1114,2071
chr8.window1k.dnd,960,1985,3922
chr9.window1k.dnd,924,2191,4314
chr21.window1k.dnd,193,425,788
chr22.window1k.dnd,213,506,750
