"Canis_familiaris,Felis_catus","Felis_catus,Sus_scrofa","Canis_familiaris,Sus_scrofa",chr,ILS,asymmetry
25414,54,84,chr1,0.005400751408891672,0.6428571428571429
27647,48,33,chr2,0.0029212348528563185,1.4545454545454546
24675,23,22,chr3,0.0018203883495145632,1.0454545454545454
17040,34,37,chr4,0.004149377593360996,0.918918918918919
20904,26,34,chr5,0.0028620492272467086,0.7647058823529411
17042,38,52,chr6,0.005253327107167873,0.7307692307692307
15286,28,28,chr7,0.0036501108069352107,1.0
13524,30,22,chr8,0.0038302887448438423,1.3636363636363635
13166,22,17,chr9,0.002953426732298372,1.2941176470588236
14040,21,18,chr10,0.002770083102493075,1.1666666666666667
15308,12,36,chr11,0.003125814014066163,0.3333333333333333
13466,27,24,chr12,0.00377302655914774,1.125
8971,30,9,chr13,0.004328523862375139,3.3333333333333335
10158,21,7,chr14,0.0027488709994109564,3.0
9328,11,11,chr15,0.002352941176470588,1.0
8130,18,10,chr16,0.003432213777886737,1.8
7508,31,11,chr17,0.005562913907284768,2.8181818181818183
8251,5,13,chr18,0.002176804934091184,0.38461538461538464
3038,23,24,chr19,0.015235008103727715,0.9583333333333334
6751,9,7,chr20,0.002364415546032215,1.2857142857142858
2933,11,4,chr21,0.00508819538670285,2.75
2967,12,4,chr22,0.0053637277908146165,3.0
11563,31,43,chrX,0.006359027240697774,0.7209302325581395
274,3,2,chrY,0.017921146953405017,1.5
