Unnamed: 0,"Lemur_catta,Nycticebus_bengalensis","Daubentonia_madagascariensis,Lemur_catta","Daubentonia_madagascariensis,Nycticebus_bengalensis"
chr13.window1k.dnd,1631,9805,1789
chr12.window1k.dnd,2446,13604,2711
chr10.window1k.dnd,2610,14761,2772
chr11.window1k.dnd,2941,16177,3150
chr14.window1k.dnd,1811,10316,2050
chr15.window1k.dnd,1758,9318,1953
chr17.window1k.dnd,1314,8040,1493
chr16.window1k.dnd,1484,7896,1554
chr19.window1k.dnd,502,2480,629
chr18.window1k.dnd,1557,9004,1535
chr22.window1k.dnd,457,2995,551
chr20.window1k.dnd,1227,7220,1349
chr21.window1k.dnd,612,3509,593
chr8.window1k.dnd,2709,15309,2812
chr9.window1k.dnd,2455,14667,2884
chr1.window1k.dnd,5036,25912,5412
chr2.window1k.dnd,5357,31099,5843
chrY.window1k.dnd,49,310,53
chr3.window1k.dnd,4470,25236,4946
chrX.window1k.dnd,2348,12670,2579
chr6.window1k.dnd,3439,19006,3877
chr7.window1k.dnd,3029,17482,3435
chr5.window1k.dnd,4041,21079,4380
chr4.window1k.dnd,3266,14780,3000
