Unnamed: 0,"Macaca_mulatta,Mus_musculus","Mus_musculus,Oryctolagus_cuniculus","Macaca_mulatta,Oryctolagus_cuniculus"
chr9.window1k.dnd,2214,2128,1460
chr8.window1k.dnd,2089,1933,1371
chr20.window1k.dnd,1094,1036,668
chr21.window1k.dnd,408,374,226
chr22.window1k.dnd,432,331,217
chr4.window1k.dnd,2373,2343,1612
chr5.window1k.dnd,3258,3293,2087
chr7.window1k.dnd,2365,2403,1592
chr6.window1k.dnd,2636,2559,1681
chr3.window1k.dnd,3493,3742,2366
chrX.window1k.dnd,2020,2015,1375
chr2.window1k.dnd,4503,4568,3043
chrY.window1k.dnd,46,37,30
chr1.window1k.dnd,4550,4048,2869
chr17.window1k.dnd,1596,1405,918
chr16.window1k.dnd,1372,1272,873
chr14.window1k.dnd,1626,1769,1036
chr15.window1k.dnd,1304,1428,1028
chr10.window1k.dnd,2254,2250,1466
chr11.window1k.dnd,2663,2390,1674
chr13.window1k.dnd,1369,1281,983
chr12.window1k.dnd,1894,2196,1245
chr19.window1k.dnd,374,397,293
chr18.window1k.dnd,1270,1217,842
