Colobus_guereza.Piliocolobus_tephrosceles,Piliocolobus_tephrosceles.Trachypithecus_phayrei,Colobus_guereza.Trachypithecus_phayrei,chr,ILS,asymmetry
73516,17286,17103,chr1,0.3186970019924934,1.0106998772145237
79760,20861,20534,chr2,0.34166976187528375,1.0159248076361158
65863,16314,16046,chr3,0.3294544047728129,1.0167019818023184
62553,15465,15141,chr4,0.3285350851769555,1.021398850802457
67874,10682,10501,chr5,0.23785889935659185,1.017236453671079
53342,13940,13704,chr6,0.34134294816388017,1.0172212492702861
54047,10324,10203,chr7,0.27525679191139,1.0118592570812506
48555,11567,11689,chr8,0.3238501065296403,0.989562836855163
38457,9250,9242,chr9,0.32471158404888584,1.0008656135035707
42339,10599,10694,chr10,0.3346272315815942,0.9911165139330466
40931,9236,9216,chr11,0.3107286597174275,1.0021701388888888
41649,9976,10090,chr12,0.3251397553269059,0.9887016848364718
28630,7186,7132,chr13,0.3333799012759616,1.0075715086932138
28755,6931,6961,chr14,0.32574389757778976,0.9956902743858641
27355,5798,5570,chr15,0.2935722955349534,1.0409335727109514
22141,6097,6091,chr16,0.35503510151766726,1.0009850599244787
20799,4959,4799,chr17,0.31933763131197435,1.0333402792248385
24091,6667,6594,chr18,0.35502784322124653,1.011070670306339
8388,2193,2230,chr19,0.3452501756303177,0.9834080717488789
21340,4399,4296,chr20,0.28949558848010654,1.023975791433892
10345,2971,2869,chr21,0.36082792709298733,1.035552457302196
8305,2171,2104,chr22,0.33982511923688397,1.0318441064638784
50732,6726,6030,chrX,0.20091985887096775,1.1154228855721393
2593,485,394,chrY,0.253168202764977,1.2309644670050761
