Unnamed: 0,"Loris_tardigradus,Nycticebus_bengalensis","Loris_tardigradus,Otolemur_garnettii","Nycticebus_bengalensis,Otolemur_garnettii"
chr1.window1k.dnd,34808,93,89
chrX.window1k.dnd,16944,72,69
chr3.window1k.dnd,33576,78,70
chrY.window1k.dnd,372,3,19
chr2.window1k.dnd,40998,86,79
chr18.window1k.dnd,11586,23,10
chr7.window1k.dnd,23344,49,41
chr6.window1k.dnd,25770,55,40
chr19.window1k.dnd,3519,40,32
chr4.window1k.dnd,20208,58,43
chr5.window1k.dnd,28558,59,48
chr11.window1k.dnd,21797,61,45
chr10.window1k.dnd,19701,48,45
chr12.window1k.dnd,18181,31,38
chr13.window1k.dnd,13574,37,28
chr16.window1k.dnd,10512,31,25
chr9.window1k.dnd,19745,48,40
chr8.window1k.dnd,20380,44,46
chr17.window1k.dnd,10642,31,33
chr15.window1k.dnd,12677,20,36
chr14.window1k.dnd,13676,35,30
chr21.window1k.dnd,4653,6,8
chr20.window1k.dnd,9478,17,17
chr22.window1k.dnd,3853,16,25
