Unnamed: 0,"Macaca_mulatta,Mandrillus_sphinx","Cercopithecus_mona,Mandrillus_sphinx","Cercopithecus_mona,Macaca_mulatta"
chr22.window1k.dnd,8900,1126,1068
chr21.window1k.dnd,13358,1772,1743
chr20.window1k.dnd,25026,2989,3028
chr18.window1k.dnd,30181,4211,4265
chr9.window1k.dnd,46585,6041,6143
chr8.window1k.dnd,58081,7895,8125
chr19.window1k.dnd,11104,1444,1440
chr4.window1k.dnd,72419,10389,10360
chr15.window1k.dnd,30194,3823,3763
chr14.window1k.dnd,34527,4591,4588
chr5.window1k.dnd,72942,10127,9821
chr16.window1k.dnd,28569,3792,3669
chr7.window1k.dnd,53021,6752,6673
chr6.window1k.dnd,65146,8169,8459
chr17.window1k.dnd,25329,3487,3312
chrX.window1k.dnd,55163,5785,5876
chr3.window1k.dnd,75885,9812,9727
chr12.window1k.dnd,50843,6871,6846
chr13.window1k.dnd,34713,4672,4662
chrY.window1k.dnd,2426,830,298
chr2.window1k.dnd,99042,13342,12977
chr11.window1k.dnd,49925,6529,6494
chr1.window1k.dnd,82477,11120,11014
chr10.window1k.dnd,50939,6983,6737
