Unnamed: 0,"Galago_moholi,Otolemur_garnettii","Galago_moholi,Nycticebus_bengalensis","Nycticebus_bengalensis,Otolemur_garnettii"
chr1.window1k.dnd,34500.0,34.0,40.0
chrY.window1k.dnd,377.0,3.0,10.0
chr2.window1k.dnd,40727.0,30.0,33.0
chrX.window1k.dnd,15978.0,31.0,58.0
chr3.window1k.dnd,33537.0,18.0,22.0
chr6.window1k.dnd,25602.0,16.0,17.0
chr7.window1k.dnd,23464.0,13.0,23.0
chr5.window1k.dnd,28377.0,23.0,24.0
chr4.window1k.dnd,20069.0,21.0,16.0
chr21.window1k.dnd,4647.0,,2.0
chr8.window1k.dnd,20300.0,20.0,14.0
chr9.window1k.dnd,19668.0,20.0,11.0
chr20.window1k.dnd,9351.0,8.0,5.0
chr22.window1k.dnd,3831.0,3.0,7.0
chr18.window1k.dnd,11624.0,5.0,3.0
chr19.window1k.dnd,3434.0,32.0,23.0
chr16.window1k.dnd,10421.0,9.0,10.0
chr17.window1k.dnd,10527.0,11.0,10.0
chr15.window1k.dnd,12541.0,4.0,8.0
chr14.window1k.dnd,13583.0,14.0,12.0
chr11.window1k.dnd,21639.0,24.0,21.0
chr10.window1k.dnd,19647.0,11.0,20.0
chr12.window1k.dnd,18013.0,11.0,24.0
chr13.window1k.dnd,13573.0,12.0,16.0
