Unnamed: 0,"Lophocebus_aterrimus,Papio_hamadryas","Lophocebus_aterrimus,Mandrillus_sphinx","Mandrillus_sphinx,Papio_hamadryas"
chr22.window1k.dnd,9558,1302,1301
chr20.window1k.dnd,25342,3830,3863
chr21.window1k.dnd,13949,2232,2221
chr9.window1k.dnd,48338,6842,7173
chr8.window1k.dnd,61363,8965,9095
chr19.window1k.dnd,12011,1744,1850
chr18.window1k.dnd,32068,5007,5109
chr13.window1k.dnd,38137,5781,6052
chr7.window1k.dnd,63276,9242,9555
chr12.window1k.dnd,52605,8099,8308
chr6.window1k.dnd,67795,10560,10921
chr4.window1k.dnd,73639,11624,11864
chr10.window1k.dnd,53092,8072,8212
chr5.window1k.dnd,77351,11375,11366
chr11.window1k.dnd,52044,7620,7954
chr14.window1k.dnd,36115,5580,5645
chr15.window1k.dnd,32406,4729,4934
chr1.window1k.dnd,91891,12979,13700
chr3.window1k.dnd,79907,11937,11993
chr17.window1k.dnd,27156,3792,4040
chrX.window1k.dnd,58364,7663,8232
chr2.window1k.dnd,102569,15161,15464
chr16.window1k.dnd,30560,3999,4150
chrY.window1k.dnd,2384,544,661
