Gorilla_gorilla_gorilla.Homo_sapiens,Homo_sapiens.Pongo_pygmaeus,Gorilla_gorilla_gorilla.Pongo_pygmaeus,chr,ILS,asymmetry
133180,970,868,chr1,0.013612999748181724,1.1175115207373272
146182,1025,939,chr2,0.013257192229287324,1.0915867944621938
122385,755,717,chr3,0.01188467345406396,1.0529986052998606
108220,748,711,chr4,0.013302455346967059,1.0520393811533053
95321,521,584,chr5,0.011459564847655196,0.8921232876712328
100881,696,659,chr6,0.013253648421299738,1.0561456752655538
87222,610,577,chr7,0.013426234885588572,1.0571923743500866
85928,496,497,chr8,0.011424166772126414,0.9979879275653923
68158,642,632,chr9,0.01834888812075124,1.0158227848101267
77701,463,503,chr10,0.012279608984707691,0.9204771371769384
73390,473,509,chr11,0.013203893938579035,0.9292730844793713
76423,462,453,chr12,0.011831182601049936,1.0198675496688743
56274,365,360,chr13,0.012719521395112196,1.0138888888888888
51501,373,345,chr14,0.013749784561175052,1.0811594202898551
47437,399,411,chr15,0.016788608618152425,0.9708029197080292
42036,279,289,chr16,0.013332081494695334,0.9653979238754326
39313,238,232,chr17,0.011814091446095066,1.0258620689655173
47673,301,286,chr18,0.012163282221301286,1.0524475524475525
19944,168,137,chr19,0.015062472220850413,1.2262773722627738
36267,271,263,chr20,0.014510475258824488,1.0304182509505704
20046,183,189,chr21,0.01821921833676168,0.9682539682539683
16717,162,209,chr22,0.02171114232209738,0.7751196172248804
84506,807,723,chrX,0.01778325352178158,1.116182572614108
2738,292,1632,chrY,0.4126984126984127,0.17892156862745098
