Unnamed: 0,"Mandrillus_leucophaeus,Mandrillus_sphinx","Cercocebus_atys,Mandrillus_leucophaeus","Cercocebus_atys,Mandrillus_sphinx"
chr9.window1k.dnd,51906,6760,6407
chr8.window1k.dnd,65945,8134,8054
chr18.window1k.dnd,33679,4769,4655
chr19.window1k.dnd,12909,1781,1569
chr12.window1k.dnd,56804,7197,6896
chr7.window1k.dnd,67138,8617,8254
chr6.window1k.dnd,72489,9435,9225
chr13.window1k.dnd,40193,5570,5477
chr4.window1k.dnd,77706,11187,10543
chr11.window1k.dnd,54981,7298,6990
chr10.window1k.dnd,54390,8541,8136
chr5.window1k.dnd,81553,10486,10278
chr15.window1k.dnd,34399,4555,4084
chr1.window1k.dnd,97208,12353,11829
chr14.window1k.dnd,39222,4743,4604
chr3.window1k.dnd,85289,10515,10357
chrX.window1k.dnd,68480,4290,3946
chr16.window1k.dnd,32354,3695,3788
chr17.window1k.dnd,28775,3776,3469
chr2.window1k.dnd,109171,13805,13427
chrY.window1k.dnd,2850,324,653
chr22.window1k.dnd,9868,1402,1298
chr21.window1k.dnd,15030,2104,2108
chr20.window1k.dnd,26909,3418,3414
