Unnamed: 0,"Nycticebus_bengalensis,Otolemur_garnettii","Lemur_catta,Otolemur_garnettii","Lemur_catta,Nycticebus_bengalensis"
chr18.window1k.dnd,11529.0,3.0,4.0
chr19.window1k.dnd,3532.0,13.0,6.0
chr15.window1k.dnd,12493.0,1.0,2.0
chr14.window1k.dnd,13540.0,3.0,
chr16.window1k.dnd,10400.0,3.0,2.0
chr17.window1k.dnd,10488.0,2.0,1.0
chr12.window1k.dnd,17890.0,9.0,2.0
chr13.window1k.dnd,13275.0,6.0,2.0
chr11.window1k.dnd,21517.0,5.0,5.0
chr10.window1k.dnd,19552.0,5.0,4.0
chr9.window1k.dnd,19419.0,8.0,2.0
chr8.window1k.dnd,20106.0,2.0,5.0
chrX.window1k.dnd,16665.0,15.0,23.0
chr3.window1k.dnd,33088.0,7.0,10.0
chrY.window1k.dnd,358.0,1.0,
chr2.window1k.dnd,40232.0,7.0,6.0
chr1.window1k.dnd,34566.0,6.0,5.0
chr22.window1k.dnd,3893.0,4.0,1.0
chr4.window1k.dnd,19960.0,5.0,6.0
chr5.window1k.dnd,28151.0,8.0,11.0
chr7.window1k.dnd,23188.0,4.0,1.0
chr21.window1k.dnd,4553.0,3.0,
chr6.window1k.dnd,25267.0,9.0,6.0
chr20.window1k.dnd,9417.0,2.0,2.0
