Unnamed: 0,"Callithrix_jacchus,Saguinus_midas","Aotus_nancymaae,Callithrix_jacchus","Aotus_nancymaae,Saguinus_midas"
chr22.window1k.dnd,8864,51,75
chr20.window1k.dnd,23097,188,170
chr21.window1k.dnd,11140,100,119
chr3.window1k.dnd,74527,621,564
chrX.window1k.dnd,39245,370,268
chr2.window1k.dnd,93487,789,825
chrY.window1k.dnd,2018,31,40
chr19.window1k.dnd,8368,100,106
chr18.window1k.dnd,27635,261,254
chr1.window1k.dnd,80157,697,660
chr4.window1k.dnd,67073,595,613
chr5.window1k.dnd,67625,591,568
chr7.window1k.dnd,54316,448,433
chr6.window1k.dnd,60276,560,519
chr14.window1k.dnd,32222,294,277
chr15.window1k.dnd,26528,224,208
chr17.window1k.dnd,21195,103,105
chr16.window1k.dnd,26542,260,267
chr13.window1k.dnd,35796,298,276
chr12.window1k.dnd,46306,410,420
chr9.window1k.dnd,39902,213,187
chr10.window1k.dnd,47491,498,440
chr8.window1k.dnd,52961,478,473
chr11.window1k.dnd,46932,394,380
