Unnamed: 0,"Chlorocebus_aethiops,Chlorocebus_sabaeus","Chlorocebus_aethiops,Erythrocebus_patas","Chlorocebus_sabaeus,Erythrocebus_patas"
chr9.window1k.dnd,53556,5064,5227
chr8.window1k.dnd,58745,6063,6055
chr18.window1k.dnd,34045,3349,3450
chr19.window1k.dnd,13565,1207,1260
chr12.window1k.dnd,57081,5619,5737
chr7.window1k.dnd,57809,5604,5884
chr6.window1k.dnd,72889,8047,7992
chr13.window1k.dnd,42501,4200,4288
chr11.window1k.dnd,54895,5686,5645
chr4.window1k.dnd,87829,8319,8666
chr5.window1k.dnd,82832,8483,8754
chr10.window1k.dnd,59662,5755,6109
chr15.window1k.dnd,34314,3559,3708
chr14.window1k.dnd,36981,3904,3864
chr1.window1k.dnd,97706,9297,9584
chrX.window1k.dnd,60030,6014,6233
chr3.window1k.dnd,89972,9009,9372
chr16.window1k.dnd,33556,2917,2945
chrY.window1k.dnd,3236,452,416
chr17.window1k.dnd,30657,2188,2174
chr2.window1k.dnd,110138,10505,10628
chr22.window1k.dnd,12806,1096,943
chr21.window1k.dnd,15135,1686,1694
chr20.window1k.dnd,27815,2545,2528
